trade_no,exit_idx,exit_time,side,signal_family,gross_r,net_pnl,fees,cumulative_gross_r,cumulative_net_pnl,nav,peak_nav,drawdown,drawdown_pct
1,333,2022-01-02T03:45:00,short,bull_failed_breakout,0.638562,9.424662,3.997316,0.638562,9.424662,1.0009424662,1.0009424662,0.0,0.0
2,678,2022-01-03T08:30:00,long,bull_followthrough,-0.279901,-21.546554,3.99649,0.35866099999999995,-12.121892,0.9987878108,1.0009424662,-0.0021546553999999274,-0.0021526266221673085
3,1092,2022-01-04T19:00:00,short,bear_followthrough,1.8,135.572992,3.972091,2.158661,123.4511,1.01234511,1.01234511,0.0,0.0
4,1822,2022-01-07T07:50:00,short,bear_followthrough,-1.0,-129.906982,4.025176,1.158661,-6.455882000000003,0.9993544118,1.01234511,-0.012990698200000095,-0.012832282263901207
5,1963,2022-01-07T19:35:00,short,bear_followthrough,-1.0,-98.486313,4.018893,0.15866099999999994,-104.942195,0.9895057805,1.01234511,-0.022839329500000005,-0.022560813772291577
6,2011,2022-01-07T23:35:00,short,bear_followthrough,-1.0,-77.508935,4.014699,-0.8413390000000001,-182.45112999999998,0.981754887,1.01234511,-0.030590223000000027,-0.030217188484271018
7,2704,2022-01-10T09:20:00,short,bear_followthrough,0.272025,7.774879,3.997645,-0.5693140000000001,-174.67625099999998,0.9825323749,1.01234511,-0.029812735100000043,-0.029449181712351113
8,2878,2022-01-10T23:50:00,long,bull_followthrough,0.695667,34.630637,4.007728,0.12635299999999994,-140.04561399999997,0.9859954386,1.01234511,-0.026349671399999997,-0.026028348573738813
9,2957,2022-01-11T06:25:00,short,bull_failed_breakout,0.503428,9.441347,3.997312,0.6297809999999999,-130.60426699999996,0.9869395733,1.01234511,-0.02540553670000001,-0.02509572718734232
10,3058,2022-01-11T14:50:00,short,bear_followthrough,-1.0,-117.342968,4.022664,-0.3702190000000001,-247.94723499999998,0.9752052765,1.01234511,-0.03713983350000005,-0.03668692932195827
11,4756,2022-01-17T12:20:00,short,bear_followthrough,-1.0,-57.851093,4.010768,-1.370219,-305.79832799999997,0.9694201672,1.01234511,-0.04292494280000003,-0.04240149172054575
12,4818,2022-01-17T17:30:00,short,bear_followthrough,1.8,132.651344,3.972675,0.42978099999999997,-173.14698399999997,0.9826853016,1.01234511,-0.029659808400000043,-0.029298119887199325
13,4860,2022-01-17T21:00:00,long,bear_failed_breakout,-1.0,-21.348839,3.99653,-0.570219,-194.49582299999997,0.9805504177,1.01234511,-0.031794692300000094,-0.03140696980301516
14,5889,2022-01-21T10:45:00,long,bull_followthrough,-0.457029,-50.521982,3.990694,-1.0272480000000002,-245.01780499999998,0.9754982195,1.01234511,-0.03684689050000001,-0.036397558634920446
15,5907,2022-01-21T12:15:00,short,bear_followthrough,1.8,163.110005,3.966585,0.7727519999999999,-81.90779999999998,0.99180922,1.01234511,-0.02053589,-0.020285463718988095
