preset,side,signal_family,signal_role,breakout_idx,signal_idx,exit_idx,breakout_time,signal_time,entry_time,exit_time,entry_price,exit_price,stop_price,target_price,range_window_start_idx,range_window_end_idx,range_high,range_low,range_mid,range_height,range_height_atr,range_context_at_breakout,support_touch_count,resistance_touch_count,support_touch_1_idx,support_touch_2_idx,support_touch_3_idx,resistance_touch_1_idx,resistance_touch_2_idx,resistance_touch_3_idx,breakout_close_pos,breakout_body_ratio,signal_close_pos,signal_body_ratio,atr_at_entry,holding_bars,exit_reason,gross_r,net_pnl,net_return_pct,fees,measured_move_hit_label,failure_label
baseline,short,bull_failed_breakout,上破失败做空,330,332,333,2022-01-02T03:30:00,2022-01-02T03:40:00,2022-01-02T03:40:00,2022-01-02T03:45:00,3751.31,3746.275,3759.1949,3746.275,310,329,3752.52,3740.03,3746.275,12.49,2.276704,true,2,4,311,317,,320,325,329,0.998867,0.780294,0.229927,0.737226,5.4575,1,止盈,0.638562,9.424662,0.094247,3.997316,true,true
baseline,long,bull_followthrough,上破后续做多,641,642,678,2022-01-03T05:25:00,2022-01-03T05:30:00,2022-01-03T05:30:00,2022-01-03T08:30:00,3817.65,3810.95,3793.71296,3860.736672,621,640,3797.3,3778.12,3787.71,19.18,3.050497,true,2,2,621,624,,632,637,,0.80545,0.802422,0.790625,0.78125,6.642,36,时间止盈/止损,-0.279901,-21.546554,-0.215466,3.99649,false,true
baseline,short,bear_followthrough,下破后续做空,1085,1086,1092,2022-01-04T18:25:00,2022-01-04T18:30:00,2022-01-04T18:30:00,2022-01-04T19:00:00,3810.01,3756.843184,3839.54712,3756.843184,1065,1084,3863.82,3833.83,3848.825,29.99,3.138014,true,2,2,1080,1084,,1072,1075,,0.0,0.914011,0.353879,0.502155,10.476,6,止盈,1.8,135.572992,1.35573,3.972091,true,true
baseline,short,bear_followthrough,下破后续做空,1807,1809,1822,2022-01-07T06:35:00,2022-01-07T06:45:00,2022-01-07T06:45:00,2022-01-07T07:50:00,3159.03,3198.79644,3198.79644,3087.450408,1787,1806,3247.0,3182.05,3214.525,64.95,4.059248,false,2,2,1803,1806,,1792,1795,,0.197667,0.777512,0.353691,0.36325,16.387,13,止损,-1.0,-129.906982,-1.29907,4.025176,false,true
baseline,short,bear_followthrough,下破后续做空,1953,1957,1963,2022-01-07T18:45:00,2022-01-07T19:05:00,2022-01-07T19:05:00,2022-01-07T19:35:00,3146.85,3176.57748,3176.57748,3093.340536,1933,1952,3209.13,3172.38,3190.755,36.75,2.898265,true,3,3,1939,1949,1952,1934,1944,1947,0.107991,0.74658,0.167898,0.832102,13.229,6,止损,-1.0,-98.486313,-0.984863,4.018893,false,true
baseline,short,bear_followthrough,下破后续做空,2000,2002,2011,2022-01-07T22:40:00,2022-01-07T22:50:00,2022-01-07T22:50:00,2022-01-07T23:35:00,3171.28,3194.58708,3194.58708,3129.327256,1980,1999,3222.99,3193.1,3208.045,29.89,3.379692,true,2,2,1996,1999,,1980,1987,,0.018723,0.955745,0.317084,0.607817,9.559,9,止损,-1.0,-77.508935,-0.775089,4.014699,false,true
baseline,short,bear_followthrough,下破后续做空,2665,2668,2704,2022-01-10T06:05:00,2022-01-10T06:20:00,2022-01-10T06:20:00,2022-01-10T09:20:00,3159.9,3156.18,3173.5752,3135.28464,2645,2664,3179.16,3165.14,3172.15,14.02,2.221342,true,2,3,2656,2660,,2647,2650,2657,0.170053,0.79985,0.059925,0.509363,6.46,36,时间止盈/止损,0.272025,7.774879,0.077749,3.997645,true,true
baseline,long,bull_followthrough,上破后续做多,2841,2842,2878,2022-01-10T20:45:00,2022-01-10T20:50:00,2022-01-10T20:50:00,2022-01-10T23:50:00,3066.9,3078.75,3049.86598,3101.982,2821,2840,3056.79,3017.81,3037.3,38.98,3.234721,true,2,2,2830,2833,,2823,2840,,0.92026,0.806347,0.85573,0.349547,12.2835,36,时间止盈/止损,0.695667,34.630637,0.346306,4.007728,false,true
baseline,short,bull_failed_breakout,上破失败做空,2954,2955,2957,2022-01-11T06:10:00,2022-01-11T06:15:00,2022-01-11T06:15:00,2022-01-11T06:25:00,3114.15,3109.965,3122.463,3109.965,2934,2953,3119.92,3100.01,3109.965,19.91,3.197623,true,2,2,2943,2946,,2934,2939,,0.978339,0.978339,0.059701,0.866915,6.275,2,止盈,0.503428,9.441347,0.094413,3.997312,true,true
baseline,short,bear_followthrough,下破后续做空,3053,3054,3058,2022-01-11T14:25:00,2022-01-11T14:30:00,2022-01-11T14:30:00,2022-01-11T14:50:00,3075.2,3110.04826,3110.04826,3012.473132,3033,3052,3130.0,3105.27,3117.635,24.73,2.71803,true,2,2,3044,3052,,3033,3037,,0.271309,0.687704,0.011416,0.775685,9.7355,4,止损,-1.0,-117.342968,-1.17343,4.022664,false,true
