trade_no,exit_idx,exit_time,side,gross_r,net_pnl,fees,cumulative_gross_r,cumulative_net_pnl,nav,peak_nav,drawdown,drawdown_pct
1,6001,2022-01-21T20:05:00,long,-1.0,-66.069252,3.987584,-1.0,-66.069252,0.9933930748,0.9933930748,0.0,0.0
2,6162,2022-01-22T09:30:00,long,-1.0,-70.218485,3.986754,-2.0,-136.287737,0.9863712263,0.9933930748,-0.007021848500000094,-0.007068549880331898
3,11956,2022-02-11T12:20:00,short,-1.0,-41.931922,4.007585,-3.0,-178.21965899999998,0.9821780341,0.9933930748,-0.011215040700000012,-0.011289630443878318
4,12269,2022-02-12T14:25:00,long,-1.0,-56.794992,3.989439,-4.0,-235.014651,0.9764985349,0.9933930748,-0.016894539900000005,-0.017006903237574256
5,14785,2022-02-21T08:05:00,short,-1.0,-64.156552,4.012029,-5.0,-299.171203,0.9700828797,0.9933930748,-0.023310195100000097,-0.023465228106903324
6,18085,2022-03-04T19:05:00,long,-1.0,-85.939351,3.983609,-6.0,-385.110554,0.9614889446,0.9933930748,-0.03190413020000005,-0.032116320326093795
7,18231,2022-03-05T07:15:00,short,-1.0,-38.559474,4.006911,-7.0,-423.670028,0.9576329972,0.9933930748,-0.035760077600000106,-0.035997913119335645
8,20684,2022-03-13T19:40:00,short,1.683245,39.27218,3.991347,-5.316755,-384.397848,0.9615602152,0.9933930748,-0.03183285960000004,-0.03204457571481356
9,23997,2022-03-25T07:45:00,short,4.217527,43.821141,3.990438,-1.099228,-340.576707,0.9659423293,0.9933930748,-0.02745074550000004,-0.027633316756840443
10,24378,2022-03-26T15:30:00,long,1.515747,24.206728,4.005642,0.41651899999999986,-316.369979,0.9683630021,0.9933930748,-0.025030072700000017,-0.02519654438404384
11,27340,2022-04-05T22:20:00,long,-0.124444,-17.179847,3.997364,0.29207499999999986,-333.549826,0.9666450174,0.9933930748,-0.02674805740000008,-0.026925955171758442
12,28991,2022-04-11T15:55:00,long,-1.0,-26.729218,3.995453,-0.7079250000000001,-360.279044,0.9639720956,0.9933930748,-0.029420979200000086,-0.02961665421909998
13,29141,2022-04-12T04:25:00,long,1.5,90.619522,4.018928,0.7920749999999999,-269.659522,0.9730340478,0.9933930748,-0.02035902700000003,-0.020494432180432565
14,29993,2022-04-15T03:25:00,short,-1.0,-23.410031,4.003881,-0.20792500000000014,-293.069553,0.9706930447,0.9933930748,-0.0227000301000001,-0.022851004980652068
15,33708,2022-04-28T01:00:00,short,-1.0,-37.144269,4.006628,-1.2079250000000001,-330.213822,0.9669786178,0.9933930748,-0.026414457000000002,-0.026590136039873258
16,41602,2022-05-25T10:50:00,long,-1.0,-21.162784,3.996567,-2.2079250000000004,-351.376606,0.9648623394,0.9933930748,-0.028530735400000062,-0.02872048952600581
17,44172,2022-06-03T09:00:00,long,-1.0,-23.139654,3.996171,-3.2079250000000004,-374.51626,0.962548374,0.9933930748,-0.030844700800000013,-0.031049844802078952
18,51113,2022-06-27T11:25:00,short,1.5,77.738869,3.983655,-1.7079250000000004,-296.77739099999997,0.9703222609,0.9933930748,-0.023070813900000098,-0.023224254814384504
19,54020,2022-07-07T13:40:00,short,-1.0,-63.716392,4.011941,-2.7079250000000004,-360.49378299999995,0.9639506217,0.9933930748,-0.029442453100000043,-0.02963827093915239
20,56313,2022-07-15T12:45:00,short,-1.0,-90.012727,4.017199,-3.7079250000000004,-450.50650999999993,0.9549493490000001,0.9933930748,-0.038443725799999995,-0.03869940990653664
21,64884,2022-08-14T07:00:00,short,-1.0,-27.804726,4.00476,-4.707925,-478.31123599999995,0.9521688764,0.9933930748,-0.04122419840000002,-0.04149837505994258
22,67687,2022-08-24T00:35:00,short,1.66426,95.495453,3.980105,-3.0436650000000003,-382.81578299999995,0.9617184217,0.9933930748,-0.03167465310000006,-0.03188531700442654
23,68605,2022-08-27T05:05:00,long,-1.0,-35.684274,3.993662,-4.043665000000001,-418.50005699999997,0.9581499943,0.9933930748,-0.035243080500000024,-0.0354774775403941
24,69537,2022-08-30T10:45:00,short,1.5,97.605968,3.979683,-2.5436650000000007,-320.89408899999995,0.9679105911,0.9933930748,-0.025482483700000058,-0.025651964309425512
25,77640,2022-09-27T14:00:00,short,2.218352,91.253044,3.980953,-0.32531300000000085,-229.64104499999996,0.9770358955,0.9933930748,-0.016357179300000024,-0.016465968723703095
26,77933,2022-09-28T14:25:00,short,-1.0,-74.261816,4.01405,-1.3253130000000009,-303.902861,0.9696097139,0.9933930748,-0.023783360900000106,-0.023941540869698907
27,78724,2022-10-01T08:20:00,long,1.5,25.093662,4.00582,0.17468699999999915,-278.809199,0.9721190801,0.9933930748,-0.02127399470000002,-0.02141548520889691
28,84527,2022-10-21T11:55:00,long,-1.0,-29.371357,3.994925,-0.8253130000000009,-308.18055599999997,0.9691819444,0.9933930748,-0.024211130400000003,-0.024372155407741736
29,90897,2022-11-12T14:45:00,short,-1.0,-46.8384,4.008566,-1.8253130000000009,-355.01895599999995,0.9644981044000001,0.9933930748,-0.028894970399999997,-0.029087147004540403
30,91230,2022-11-13T18:30:00,long,-1.0,-68.798092,3.987038,-2.825313000000001,-423.81704799999994,0.9576182952,0.9933930748,-0.035774779600000084,-0.03601271290038199
31,93672,2022-11-22T06:00:00,long,-1.0,-51.895535,3.990419,-3.825313000000001,-475.71258299999994,0.9524287417,0.9933930748,-0.04096433310000003,-0.04123678143039944
32,96297,2022-12-01T08:45:00,long,1.552845,35.226229,4.007847,-2.272468000000001,-440.48635399999995,0.9559513646,0.9933930748,-0.03744171020000009,-0.03769073003406853
33,97679,2022-12-06T03:55:00,short,1.5,30.998681,3.993002,-0.7724680000000008,-409.487673,0.9590512327,0.9933930748,-0.03434184210000002,-0.03457024512367779
34,102544,2022-12-23T01:20:00,short,0.353954,4.965609,3.998207,-0.41851400000000083,-404.522064,0.9595477936,0.9933930748,-0.03384528120000008,-0.03407038166318421
35,104033,2022-12-28T05:25:00,long,-1.0,-20.101632,3.996779,-1.418514000000001,-424.623696,0.9575376304,0.9933930748,-0.0358554444000001,-0.036093914191236864
36,106495,2023-01-05T18:35:00,long,1.5,20.833608,4.004968,0.08148599999999906,-403.79008799999997,0.9596209912,0.9933930748,-0.03377208360000006,-0.033996697235683215
37,109135,2023-01-14T22:35:00,short,-1.0,-45.337355,4.008266,-0.9185140000000009,-449.12744299999997,0.9550872557,0.9933930748,-0.03830581910000008,-0.038560586007419295
38,110086,2023-01-18T05:50:00,short,-1.0,-20.475158,4.003294,-1.918514000000001,-469.602601,0.9530397399,0.9933930748,-0.04035333490000004,-0.04062171956264582
39,113341,2023-01-29T13:05:00,short,-1.0,-28.662102,4.004931,-2.918514000000001,-498.264703,0.9501735297,0.9933930748,-0.043219545100000034,-0.04350699254542456
40,113501,2023-01-30T02:25:00,short,0.681924,42.165323,3.990769,-2.236590000000001,-456.09938,0.954390062,0.9933930748,-0.03900301280000007,-0.03926241664997765
41,114486,2023-02-02T12:30:00,short,-1.0,-21.429255,4.003485,-3.236590000000001,-477.528635,0.9522471365,0.9933930748,-0.04114593830000002,-0.0414195944624276
42,117129,2023-02-11T16:45:00,short,1.5,34.210062,3.99236,-1.736590000000001,-443.318573,0.9556681427,0.9933930748,-0.03772493210000005,-0.03797583560525142
43,120024,2023-02-21T18:00:00,long,1.5,81.614887,4.017126,-0.23659000000000097,-361.703686,0.9638296314,0.9933930748,-0.029563443400000056,-0.02976006592954361
44,121180,2023-02-25T18:20:00,long,-1.0,-25.524673,3.995694,-1.236590000000001,-387.228359,0.9612771641,0.9933930748,-0.03211591070000008,-0.03232950935002843
45,122054,2023-02-28T19:10:00,short,0.094509,-0.524903,3.999305,-1.142081000000001,-387.753262,0.9612246738,0.9933930748,-0.03216840100000007,-0.03238234875603152
46,122540,2023-03-02T11:40:00,long,-0.430533,-32.587738,3.994281,-1.572614000000001,-420.341,0.9579659,0.9933930748,-0.035427174800000016,-0.03566279622709523
