preset,side,breakout_idx,entry_idx,exit_idx,breakout_time,breakout_price,entry_time,exit_time,entry_price,exit_price,stop_price,target_price,flag_high,flag_low,flag_mid,flag_height,atr_at_entry,holding_bars,exit_reason,gross_r,net_pnl,net_return_pct,fees
baseline,long,5999,6000,6001,2022-01-21T19:55:00,2740.36,2022-01-21T20:00:00,2022-01-21T20:05:00,2752.0,2734.915125,2734.915125,2791.42,2789.42,2750.0,2769.71,39.42,17.8325,1,止损,-1.0,-66.069252,-0.660693,3.987584
baseline,long,6157,6158,6162,2022-01-22T09:05:00,2458.7,2022-01-22T09:10:00,2022-01-22T09:30:00,2464.54,2448.216925,2448.216925,2506.41,2504.49,2462.62,2483.555,41.87,20.0205,4,止损,-1.0,-70.218485,-0.702185,3.986754
baseline,short,11938,11939,11956,2022-02-11T10:50:00,3107.67,2022-02-11T10:55:00,2022-02-11T12:20:00,3104.84,3116.6149,3116.6149,3072.05,3107.64,3074.85,3091.245,32.79,10.766,17,止损,-1.0,-41.931922,-0.419319,4.007585
baseline,long,12263,12264,12269,2022-02-12T13:55:00,2893.17,2022-02-12T14:00:00,2022-02-12T14:25:00,2905.22,2889.878825,2889.878825,2929.67,2919.6,2895.15,2907.375,24.45,9.6745,5,止损,-1.0,-56.794992,-0.56795,3.989439
baseline,short,14776,14778,14785,2022-02-21T07:20:00,2744.44,2022-02-21T07:30:00,2022-02-21T08:05:00,2737.98,2754.44745,2754.44745,2713.278825,2743.55,2730.68,2737.115,12.87,6.583,7,止损,-1.0,-64.156552,-0.641566,4.012029
baseline,long,18048,18050,18085,2022-03-04T16:00:00,2660.66,2022-03-04T16:10:00,2022-03-04T19:05:00,2667.76,2645.896175,2645.896175,2718.47,2715.71,2665.0,2690.355,50.71,15.6255,35,止损,-1.0,-85.939351,-0.859394,3.983609
baseline,short,18218,18222,18231,2022-03-05T06:10:00,2628.16,2022-03-05T06:30:00,2022-03-05T07:15:00,2625.29,2634.36105,2634.36105,2611.683425,2626.9,2614.55,2620.725,12.35,5.407,9,止损,-1.0,-38.559474,-0.385595,4.006911
baseline,short,20659,20660,20684,2022-03-13T17:35:00,2584.82,2022-03-13T17:40:00,2022-03-13T19:40:00,2579.54,2568.38,2586.17005,2568.38,2584.45,2573.29,2578.87,11.16,4.467,24,止盈,1.683245,39.27218,0.392722,3.991347
baseline,short,23992,23993,23997,2022-03-25T07:20:00,3145.58,2022-03-25T07:25:00,2022-03-25T07:45:00,3143.59,3128.56,3147.1537,3128.56,3145.0,3129.97,3137.485,15.03,5.091,4,止盈,4.217527,43.821141,0.438211,3.990438
baseline,long,24369,24370,24378,2022-03-26T14:45:00,3108.34,2022-03-26T14:50:00,2022-03-26T15:30:00,3112.11,3120.89,3106.317475,3120.89,3117.78,3109.0,3113.39,8.78,4.8835,8,止盈,1.515747,24.206728,0.242067,4.005642
baseline,long,27300,27304,27340,2022-04-05T19:00:00,3439.57,2022-04-05T19:20:00,2022-04-05T22:20:00,3451.55,3447.0,3414.987225,3506.394162,3456.44,3441.34,3448.89,15.1,10.4185,36,时间止盈/止损,-0.124444,-17.179847,-0.171798,3.997364
baseline,long,28989,28990,28991,2022-04-11T15:45:00,3016.9,2022-04-11T15:50:00,2022-04-11T15:55:00,3017.67,3010.8097,3010.8097,3040.73,3040.06,3017.0,3028.53,23.06,9.202,1,止损,-1.0,-26.729218,-0.267292,3.995453
baseline,long,29115,29121,29141,2022-04-12T02:15:00,2958.57,2022-04-12T02:45:00,2022-04-12T04:25:00,2965.56,2993.6256,2946.8496,2993.6256,2987.24,2963.2,2975.22,24.04,8.936,20,止盈,1.5,90.619522,0.906195,4.018928
baseline,short,29989,29991,29993,2022-04-15T03:05:00,3029.27,2022-04-15T03:15:00,2022-04-15T03:25:00,3027.7,3033.5756,3033.5756,3015.03,3029.06,3016.39,3022.725,12.67,4.704,2,止损,-1.0,-23.410031,-0.2341,4.003881
baseline,short,33702,33706,33708,2022-04-28T00:30:00,2896.75,2022-04-28T00:50:00,2022-04-28T01:00:00,2889.75,2899.32595,2899.32595,2872.0,2894.53,2876.78,2885.655,17.75,6.173,2,止损,-1.0,-37.144269,-0.371443,4.006628
baseline,long,41598,41599,41602,2022-05-25T10:30:00,1964.91,2022-05-25T10:35:00,2022-05-25T10:50:00,1966.1,1962.72495,1962.72495,1979.34,1978.39,1965.15,1971.77,13.24,4.8215,3,止损,-1.0,-21.162784,-0.211628,3.996567
baseline,long,44168,44169,44172,2022-06-03T08:40:00,1806.67,2022-06-03T08:45:00,2022-06-03T09:00:00,1808.37,1804.90815,1804.90815,1822.49,1821.52,1807.4,1814.46,14.12,4.9455,3,止损,-1.0,-23.139654,-0.231397,3.996171
baseline,short,51099,51100,51113,2022-06-27T10:15:00,1236.69,2022-06-27T10:20:00,2022-06-27T11:25:00,1232.74,1222.665737,1239.456175,1222.665737,1235.74,1227.7,1231.72,8.04,3.7745,13,止盈,1.5,77.738869,0.777389,3.983655
baseline,short,54018,54019,54020,2022-07-07T13:30:00,1190.37,2022-07-07T13:35:00,2022-07-07T13:40:00,1187.96,1195.05265,1195.05265,1176.33,1189.95,1178.32,1184.135,11.63,4.551,1,止损,-1.0,-63.716392,-0.637164,4.011941
baseline,short,56294,56295,56313,2022-07-15T11:10:00,1225.55,2022-07-15T11:15:00,2022-07-15T12:45:00,1218.7,1229.180275,1229.180275,1202.979588,1221.42,1212.0,1216.71,9.42,4.8685,18,止损,-1.0,-90.012727,-0.900127,4.017199
baseline,short,64870,64871,64884,2022-08-14T05:50:00,1995.1,2022-08-14T05:55:00,2022-08-14T07:00:00,1991.61,1996.350025,1996.350025,1983.06,1994.16,1985.61,1989.885,8.55,4.3335,13,止损,-1.0,-27.804726,-0.278047,4.00476
baseline,short,67672,67673,67687,2022-08-23T23:20:00,1667.18,2022-08-23T23:25:00,2022-08-24T00:35:00,1662.72,1646.18,1672.65835,1646.18,1666.45,1649.91,1658.18,16.54,6.389,14,止盈,1.66426,95.495453,0.954955,3.980105
baseline,long,68601,68602,68605,2022-08-27T04:45:00,1492.29,2022-08-27T04:50:00,2022-08-27T05:05:00,1494.37,1489.63425,1489.63425,1505.76,1504.67,1493.28,1498.975,11.39,4.705,3,止损,-1.0,-35.684274,-0.356843,3.993662
baseline,short,69532,69534,69537,2022-08-30T10:20:00,1596.56,2022-08-30T10:30:00,2022-08-30T10:45:00,1594.85,1578.648612,1605.650925,1578.648612,1595.82,1586.41,1591.115,9.41,4.3395,3,止盈,1.5,97.605968,0.97606,3.979683
baseline,short,77625,77626,77640,2022-09-27T12:45:00,1399.29,2022-09-27T12:50:00,2022-09-27T14:00:00,1394.46,1381.18,1400.446425,1381.18,1397.98,1384.7,1391.34,13.28,5.1095,14,止盈,2.218352,91.253044,0.91253,3.980953
baseline,short,77924,77926,77933,2022-09-28T13:40:00,1313.19,2022-09-28T13:50:00,2022-09-28T14:25:00,1309.7,1318.90035,1318.90035,1294.25,1313.0,1297.55,1305.275,15.45,6.669,7,止损,-1.0,-74.261816,-0.742618,4.01405
baseline,long,78709,78710,78724,2022-10-01T07:05:00,1324.57,2022-10-01T07:10:00,2022-10-01T08:20:00,1326.57,1330.43025,1323.9965,1330.43025,1328.66,1325.52,1327.09,3.14,1.49,14,止盈,1.5,25.093662,0.250937,4.00582
baseline,long,84518,84519,84527,2022-10-21T11:10:00,1276.4,2022-10-21T11:15:00,2022-10-21T11:55:00,1278.45,1275.20575,1275.20575,1283.32,1281.49,1276.62,1279.055,4.87,1.895,8,止损,-1.0,-29.371357,-0.293714,3.994925
baseline,short,90894,90895,90897,2022-11-12T14:30:00,1270.4,2022-11-12T14:35:00,2022-11-12T14:45:00,1267.23,1272.657525,1272.657525,1255.85,1268.38,1257.0,1262.69,11.38,4.3835,2,止损,-1.0,-46.8384,-0.468384,4.008566
