trade_no,exit_idx,exit_time,side,gross_r,net_pnl,fees,cumulative_gross_r,cumulative_net_pnl,nav,peak_nav,drawdown,drawdown_pct
1,246,2022-01-01T20:30:00,short,-1.0,-67.529248,4.012703,-1.0,-67.529248,0.9932470752,0.9932470752,0.0,0.0
2,619,2022-01-03T03:35:00,long,-1.0,-55.707535,3.989656,-2.0,-123.236783,0.9876763217,0.9932470752,-0.005570753500000025,-0.005608628144088246
3,665,2022-01-03T07:25:00,long,0.542841,27.126055,4.006226,-1.4571589999999999,-96.110728,0.9903889272,0.9932470752,-0.0028581479999999493,-0.0028775800818989783
4,1198,2022-01-05T03:50:00,long,0.318374,26.063517,4.006014,-1.138785,-70.04721099999999,0.9929952789000001,0.9932470752,-0.00025179629999994013,-0.0002535082219590201
5,1290,2022-01-05T11:30:00,short,1.812712,89.590854,3.981286,0.6739270000000002,19.543643000000003,1.0019543643,1.0019543643,0.0,0.0
6,1541,2022-01-06T08:25:00,long,-0.578109,-97.686986,3.981259,0.09581800000000018,-78.143343,0.9921856657,1.0019543643,-0.009768698599999959,-0.009749644243353006
7,1714,2022-01-06T22:50:00,short,0.272228,16.680937,3.995865,0.3680460000000002,-61.462406,0.9938537594,1.0019543643,-0.008100604899999975,-0.0080848042472067
8,3021,2022-01-11T11:45:00,short,0.278984,20.235149,3.995154,0.6470300000000002,-41.227257,0.9958772743,1.0019543643,-0.006077090000000007,-0.006065236318667733
9,3168,2022-01-12T00:00:00,short,-1.0,-49.82018,4.009162,-0.3529699999999998,-91.047437,0.9908952563,1.0019543643,-0.011059107999999984,-0.011037536632445555
10,3214,2022-01-12T03:50:00,short,0.125083,4.871598,3.998226,-0.22788699999999978,-86.175839,0.9913824161,1.0019543643,-0.010571948199999959,-0.01055132706307027
11,3540,2022-01-13T07:00:00,long,0.117529,3.70516,4.001541,-0.11035799999999979,-82.47067899999999,0.9917529321,1.0019543643,-0.010201432199999916,-0.010181533773872986
12,4622,2022-01-17T01:10:00,short,1.930822,78.585595,3.983486,1.8204640000000003,-3.885083999999992,0.9996114916,1.0019543643,-0.0023428726999999983,-0.002338302804476333
13,5358,2022-01-19T14:30:00,short,-1.0,-82.664181,4.01573,0.8204640000000003,-86.54926499999999,0.9913450735,1.0019543643,-0.010609290799999949,-0.010588596824379293
14,5980,2022-01-21T18:20:00,long,-1.0,-146.463418,3.971502,-0.1795359999999997,-233.01268299999998,0.9766987317,1.0019543643,-0.025255632599999966,-0.025206370170007153
15,6018,2022-01-21T21:30:00,long,-1.0,-176.687882,3.965456,-1.1795359999999997,-409.700565,0.9590299435,1.0019543643,-0.04292442079999992,-0.042840694476128593
