preset,side,signal_idx,exit_idx,signal_time,signal_price,entry_time,exit_time,entry_price,exit_price,stop_price,target_price,wedge_high,wedge_low,wedge_range,third_push_price,first_push_idx,second_push_idx,third_push_idx,atr_at_entry,holding_bars,exit_reason,gross_r,net_pnl,net_return_pct,fees
baseline,short,222,246,2022-01-01T18:30:00,3742.58,2022-01-01T18:30:00,2022-01-01T20:30:00,3742.58,3766.351575,3766.351575,3699.791165,3765.0,3723.21,41.79,3765.0,197,213,216,9.0105,24,止损,-1.0,-67.529248,-0.675292,4.012703
baseline,long,608,619,2022-01-03T02:40:00,3801.49,2022-01-03T02:40:00,2022-01-03T03:35:00,3801.49,3781.8295,3781.8295,3836.8789,3813.9,3782.89,31.01,3782.89,590,593,602,7.07,11,止损,-1.0,-55.707535,-0.557075,3.989656
baseline,long,625,665,2022-01-03T04:05:00,3793.49,2022-01-03T04:05:00,2022-01-03T07:25:00,3793.49,3805.3,3771.734075,3832.650665,3804.69,3772.85,31.84,3772.85,593,602,620,7.4395,40,时间止盈/止损,0.542841,27.126055,0.271261,4.006226
baseline,long,1158,1198,2022-01-05T00:30:00,3801.19,2022-01-05T00:30:00,2022-01-05T03:50:00,3801.19,3812.62,3765.2888,3865.81216,3821.05,3767.0,54.05,3767.0,1144,1148,1153,11.408,40,时间止盈/止损,0.318374,26.063517,0.260635,4.006014
baseline,short,1275,1290,2022-01-05T10:15:00,3828.49,2022-01-05T10:15:00,2022-01-05T11:30:00,3828.49,3792.666,3848.25265,3792.666,3847.18,3802.4,44.78,3847.18,1265,1269,1272,7.151,15,止盈,1.812712,89.590854,0.895909,3.981286
baseline,long,1501,1541,2022-01-06T05:05:00,3458.7,2022-01-06T05:05:00,2022-01-06T08:25:00,3458.7,3426.29,3402.63795,3559.61169,3500.7,3405.42,95.28,3405.42,1469,1489,1496,18.547,40,时间止盈/止损,-0.578109,-97.686986,-0.97687,3.981259
baseline,short,1674,1714,2022-01-06T19:30:00,3433.8,2022-01-06T19:30:00,2022-01-06T22:50:00,3433.8,3426.7,3459.881075,3386.854065,3458.3,3413.45,44.85,3458.3,1658,1667,1670,10.5405,40,时间止盈/止损,0.272228,16.680937,0.166809,3.995865
baseline,short,2981,3021,2022-01-11T08:25:00,3120.06,2022-01-11T08:25:00,2022-01-11T11:45:00,3120.06,3112.5,3147.158375,3071.282925,3145.79,3095.95,49.84,3145.79,2967,2977,2980,9.1225,40,时间止盈/止损,0.278984,20.235149,0.202351,3.995154
baseline,short,3166,3168,2022-01-11T23:50:00,3232.11,2022-01-11T23:50:00,2022-01-12T00:00:00,3232.11,3246.916625,3246.916625,3205.458075,3245.93,3220.83,25.1,3245.93,3134,3158,3165,6.5775,2,止损,-1.0,-49.82018,-0.498202,4.009162
baseline,short,3174,3214,2022-01-12T00:30:00,3235.69,2022-01-12T00:30:00,2022-01-12T03:50:00,3235.69,3232.82,3258.63485,3194.38927,3257.27,3225.86,31.41,3257.27,3158,3165,3171,9.099,40,时间止盈/止损,0.125083,4.871598,0.048716,3.998226
baseline,long,3500,3540,2022-01-13T03:40:00,3334.76,2022-01-13T03:40:00,2022-01-13T07:00:00,3334.76,3337.33,3312.8931,3374.12042,3346.0,3313.95,32.05,3313.95,3467,3475,3495,7.046,40,时间止盈/止损,0.117529,3.70516,0.037052,4.001541
baseline,short,4606,4622,2022-01-16T23:50:00,3347.5,2022-01-16T23:50:00,2022-01-17T01:10:00,3347.5,3319.86,3361.81515,3319.86,3361.02,3326.47,34.55,3361.02,4591,4598,4602,5.301,16,止盈,1.930822,78.585595,0.785856,3.983486
baseline,short,5347,5358,2022-01-19T13:35:00,3119.68,2022-01-19T13:35:00,2022-01-19T14:30:00,3119.68,3144.2158,3144.2158,3075.51556,3142.84,3105.5,37.34,3142.84,5329,5333,5341,9.172,11,止损,-1.0,-82.664181,-0.826642,4.01573
baseline,long,5978,5980,2022-01-21T18:10:00,2802.08,2022-01-21T18:10:00,2022-01-21T18:20:00,2802.08,2762.152625,2762.152625,2878.712,2860.22,2764.43,95.79,2764.43,5967,5972,5975,15.1825,2,止损,-1.0,-146.463418,-1.464634,3.971502
baseline,long,6011,6018,2022-01-21T20:55:00,2743.71,2022-01-21T20:55:00,2022-01-21T21:30:00,2743.71,2696.319975,2696.319975,2829.012045,2788.58,2700.0,88.58,2700.0,5975,5981,6005,24.5335,7,止损,-1.0,-176.687882,-1.766879,3.965456
baseline,long,6128,6137,2022-01-22T06:40:00,2527.83,2022-01-22T06:40:00,2022-01-22T07:25:00,2527.83,2457.7582,2457.7582,2653.95924,2569.79,2461.0,108.79,2461.0,6092,6120,6127,21.612,9,止损,-1.0,-281.145954,-2.81146,3.94456
baseline,long,6174,6214,2022-01-22T10:30:00,2457.33,2022-01-22T10:30:00,2022-01-22T13:50:00,2457.33,2465.14,2288.128125,2761.893375,2491.68,2293.56,198.12,2293.56,6138,6165,6170,36.2125,40,时间止盈/止损,0.046158,27.776107,0.277761,4.006356
baseline,long,6242,6264,2022-01-22T16:10:00,2434.59,2022-01-22T16:10:00,2022-01-22T18:00:00,2434.59,2357.29055,2357.29055,2573.72901,2469.39,2360.81,108.58,2360.81,6231,6234,6241,23.463,22,止损,-1.0,-321.4415,-3.214415,3.936499
baseline,long,6283,6290,2022-01-22T19:35:00,2352.62,2022-01-22T19:35:00,2022-01-22T20:10:00,2352.62,2423.476,2314.357475,2423.476,2406.57,2318.0,88.57,2318.0,6265,6271,6281,24.2835,7,止盈,1.851838,297.118875,2.971189,4.060236
baseline,long,6569,6571,2022-01-23T19:25:00,2424.39,2022-01-23T19:25:00,2022-01-23T19:35:00,2424.39,2397.61895,2397.61895,2472.57789,2444.96,2399.15,45.81,2399.15,6557,6563,6567,10.207,2,止损,-1.0,-114.401774,-1.144018,3.977915
