trade_no,exit_idx,exit_time,side,gross_r,net_pnl,fees,cumulative_gross_r,cumulative_net_pnl,nav,peak_nav,drawdown,drawdown_pct
1,50,2022-01-01T04:10:00,long,-1.0,-23.591679,3.996081,-1.0,-23.591679,0.9976408321,0.9976408321,0.0,0.0
2,186,2022-01-01T15:30:00,short,-1.0,-43.545867,4.007908,-2.0,-67.137546,0.9932862454,0.9976408321,-0.004354586699999996,-0.004364884194679286
3,211,2022-01-01T17:35:00,short,-1.0,-60.478836,4.011294,-3.0,-127.616382,0.9872383618,0.9976408321,-0.010402470299999966,-0.010427069507673581
4,246,2022-01-01T20:30:00,short,-1.0,-65.076495,4.012213,-4.0,-192.692877,0.9807307123,0.9976408321,-0.016910119800000012,-0.016950107950578497
5,297,2022-01-02T00:45:00,short,-0.528139,-40.796174,4.007358,-4.528139,-233.48905100000002,0.9766510949,0.9976408321,-0.02098973719999997,-0.02103937261250355
6,345,2022-01-02T04:45:00,long,-1.0,-33.415445,3.994116,-5.528139,-266.904496,0.9733095504,0.9976408321,-0.024331281699999985,-0.024388819018948404
7,379,2022-01-02T07:35:00,short,-1.0,-35.686571,4.006336,-6.528139,-302.591067,0.9697408933,0.9976408321,-0.027899938799999968,-0.027965915089172455
8,400,2022-01-02T09:20:00,short,-1.0,-48.640891,4.008926,-7.528139,-351.231958,0.9648768042,0.9976408321,-0.03276402789999999,-0.03284150652798845
9,440,2022-01-02T12:40:00,short,-1.0,-63.564044,4.01191,-8.528139,-414.79600200000004,0.9585203998,0.9976408321,-0.03912043229999995,-0.03921294221453708
10,469,2022-01-02T15:05:00,short,-1.0,-41.984574,4.007595,-9.528139,-456.78057600000005,0.9543219424,0.9976408321,-0.043318889699999974,-0.043421327902964046
11,613,2022-01-03T03:05:00,short,0.402947,26.555046,3.99389,-9.125192,-430.22553000000005,0.956977447,0.9976408321,-0.040663385100000005,-0.04075954370713253
12,641,2022-01-03T05:25:00,short,-1.0,-23.424474,4.003884,-10.125192,-453.650004,0.9546349996,0.9976408321,-0.04300583250000001,-0.04310753040197257
