example_no,example_file,side,pattern_role,variant_label,signal_time,entry_time,exit_time,gross_r,net_pnl,holding_bars,pattern_span,pattern_height_atr,selection_score
1,double-top-bottom-example-001.png,long,双底反转,常规/略高双底,2022-01-30 00:00,2022-01-30 00:00,2022-01-30 00:40,-1.0,-103.323113,8,37,11.343135,6.392786
2,double-top-bottom-example-002.png,short,双顶反转,常规/略低双顶,2022-02-01 13:30,2022-02-01 13:30,2022-02-01 13:40,-1.0,-98.336571,2,51,6.979704,4.587822
3,double-top-bottom-example-003.png,short,双顶反转,常规/略低双顶,2022-02-20 19:15,2022-02-20 19:15,2022-02-20 21:15,1.8,177.958513,24,30,5.127964,3.824764
4,double-top-bottom-example-004.png,long,双底反转,常规/略高双底,2022-03-15 09:15,2022-03-15 09:15,2022-03-15 12:15,0.704235,51.7795,36,23,5.393747,3.57756
5,double-top-bottom-example-005.png,long,双底反转,常规/略高双底,2022-04-08 18:40,2022-04-08 18:40,2022-04-08 21:40,-0.804754,-109.724422,36,54,7.715368,5.015519
6,double-top-bottom-example-006.png,short,双顶反转,常规/略低双顶,2022-04-11 19:10,2022-04-11 19:10,2022-04-11 20:05,1.8,161.902779,11,44,6.776245,4.859379
7,double-top-bottom-example-007.png,short,双顶反转,常规/略低双顶,2022-04-23 00:25,2022-04-23 00:25,2022-04-23 03:25,0.611414,44.125209,36,56,6.787108,4.400374
8,double-top-bottom-example-008.png,long,双底反转,常规/略高双底,2022-04-26 11:10,2022-04-26 11:10,2022-04-26 12:50,-1.0,-81.395545,20,48,7.596732,4.901882
9,double-top-bottom-example-009.png,short,双顶反转,常规/略低双顶,2022-05-31 11:45,2022-05-31 11:45,2022-05-31 13:25,-1.0,-64.189395,20,31,6.510519,4.681097
10,double-top-bottom-example-010.png,long,双底反转,常规/略高双底,2022-06-02 10:00,2022-06-02 10:00,2022-06-02 13:00,-0.065009,-8.553223,36,36,6.495137,4.667666
11,double-top-bottom-example-011.png,long,双底反转,更低低双底,2022-06-29 17:55,2022-06-29 17:55,2022-06-29 20:55,0.262409,39.453034,36,46,5.888042,3.900308
12,double-top-bottom-example-012.png,long,双底反转,常规/略高双底,2022-07-30 04:45,2022-07-30 04:45,2022-07-30 07:45,0.435046,46.775377,36,31,5.902323,3.916772
13,double-top-bottom-example-013.png,short,双顶反转,更高高双顶,2022-08-20 22:35,2022-08-20 22:35,2022-08-21 00:20,-1.0,-159.983313,21,22,6.605541,4.333277
14,double-top-bottom-example-014.png,short,双顶反转,常规/略低双顶,2022-09-03 22:55,2022-09-03 22:55,2022-09-04 01:55,0.034242,-1.876597,36,36,7.020695,4.528991
15,double-top-bottom-example-015.png,long,双底反转,常规/略高双底,2022-09-09 16:25,2022-09-09 16:25,2022-09-09 19:25,-0.351876,-54.088024,36,49,7.338531,4.790409
16,double-top-bottom-example-016.png,short,双顶反转,常规/略低双顶,2022-10-09 22:25,2022-10-09 22:25,2022-10-10 00:40,-1.0,-77.048277,27,35,9.24714,5.884533
17,double-top-bottom-example-017.png,long,双底反转,常规/略高双底,2022-10-27 12:55,2022-10-27 12:55,2022-10-27 15:55,-0.676151,-173.549353,36,22,6.193163,4.094604
18,double-top-bottom-example-018.png,short,双顶反转,常规/略低双顶,2022-11-07 05:50,2022-11-07 05:50,2022-11-07 07:00,1.893803,89.102969,14,36,6.358941,4.611101
19,double-top-bottom-example-019.png,long,双底反转,更低低双底,2022-12-04 08:15,2022-12-04 08:15,2022-12-04 11:15,-0.432241,-30.037079,36,9,5.021174,3.372704
20,double-top-bottom-example-020.png,long,双底反转,常规/略高双底,2022-12-05 07:35,2022-12-05 07:35,2022-12-05 10:35,-0.319726,-23.352211,36,32,10.232713,6.300715
21,double-top-bottom-example-021.png,long,双底牛旗,常规/略高双底,2023-01-02 07:10,2023-01-02 07:10,2023-01-02 07:15,1.8,114.22944,1,6,7.435782,5.213954
22,double-top-bottom-example-022.png,short,双顶反转,更高高双顶,2023-01-02 10:35,2023-01-02 10:35,2023-01-02 13:35,0.278729,15.730892,36,34,10.47619,6.337662
23,double-top-bottom-example-023.png,long,双底反转,常规/略高双底,2023-01-30 16:05,2023-01-30 16:05,2023-01-30 19:05,-1.0,-131.894076,36,36,7.242397,4.693793
24,double-top-bottom-example-024.png,short,双顶反转,更高高双顶,2023-01-31 00:30,2023-01-31 00:30,2023-01-31 00:50,-1.0,-54.871305,4,20,8.542714,5.477571
25,double-top-bottom-example-025.png,long,双底反转,更低低双底,2023-02-24 03:20,2023-02-24 03:20,2023-02-24 05:00,-1.0,-40.509242,20,28,7.363053,4.811675
26,double-top-bottom-example-026.png,short,双顶反转,常规/略低双顶,2023-03-05 22:05,2023-03-05 22:05,2023-03-06 01:05,0.046715,-0.745761,36,8,6.325474,4.11783
27,double-top-bottom-example-027.png,short,双顶熊旗,常规/略低双顶,2023-03-24 11:45,2023-03-24 11:45,2023-03-24 14:45,-0.514859,-146.099145,36,5,10.2566,6.379755
28,double-top-bottom-example-028.png,long,双底牛旗,常规/略高双底,2023-03-29 06:25,2023-03-29 06:25,2023-03-29 09:25,0.357824,45.382932,36,5,7.342374,4.744504
29,double-top-bottom-example-029.png,long,双底反转,常规/略高双底,2023-04-12 00:00,2023-04-12 00:00,2023-04-12 01:45,-1.0,-61.153314,21,37,8.284088,5.319406
