preset,side,pattern_role,variant_label,signal_idx,exit_idx,signal_time,entry_time,exit_time,entry_price,exit_price,stop_price,target_price,first_idx,second_idx,neckline_idx,first_price,second_price,neckline_price,reference_price,pattern_height,pattern_span,atr_at_entry,pattern_height_atr,holding_bars,exit_reason,gross_r,net_pnl,net_return_pct,fees,measured_move_hit_label,failure_label
baseline,long,双底牛旗,常规/略高双底,38,50,2022-01-01T03:10:00,2022-01-01T03:10:00,2022-01-01T04:10:00,3727.48,3720.17578,3720.17578,3740.627596,31,36,35,3721.15,3720.91,3734.0,3720.91,13.09,5,6.1185,2.139413,12,止损,-1.0,-23.591679,-0.235917,3.996081,false,true
baseline,short,双顶反转,常规/略低双顶,165,186,2022-01-01T13:45:00,2022-01-01T13:45:00,2022-01-01T15:30:00,3710.5,3725.17056,3725.17056,3684.092992,156,164,162,3724.26,3720.1,3706.82,3724.26,17.44,8,7.588,2.298366,21,止损,-1.0,-43.545867,-0.435459,4.007908,true,true
baseline,short,双顶反转,更高高双顶,202,211,2022-01-01T16:50:00,2022-01-01T16:50:00,2022-01-01T17:35:00,3728.0,3749.0511,3749.0511,3690.10802,187,197,190,3744.99,3747.66,3715.81,3747.66,31.85,10,11.5925,2.747466,9,止损,-1.0,-60.478836,-0.604788,4.011294,false,true
baseline,short,双顶反转,常规/略低双顶,231,246,2022-01-01T19:15:00,2022-01-01T19:15:00,2022-01-01T20:30:00,3743.18,3766.03746,3766.03746,3702.036572,216,229,223,3765.0,3755.9,3737.97,3765.0,27.03,13,8.6455,3.126482,15,止损,-1.0,-65.076495,-0.650765,4.012213,false,true
baseline,short,双顶反转,常规/略低双顶,261,297,2022-01-01T21:45:00,2022-01-01T21:45:00,2022-01-02T00:45:00,3751.14,3764.94,3777.26948,3704.106936,247,255,250,3776.33,3774.51,3754.42,3776.33,21.91,8,7.829,2.798569,36,时间止盈/止损,-0.528139,-40.796174,-0.407962,4.007358,false,false
baseline,long,双底反转,常规/略高双底,319,345,2022-01-02T02:35:00,2022-01-02T02:35:00,2022-01-02T04:45:00,3750.32,3739.28606,3739.28606,3770.181092,307,317,316,3740.48,3740.03,3752.52,3740.03,12.49,10,6.1995,2.014679,26,止损,-1.0,-33.415445,-0.334154,3.994116,true,false
baseline,short,双顶熊旗,常规/略低双顶,371,379,2022-01-02T06:55:00,2022-01-02T06:55:00,2022-01-02T07:35:00,3736.74,3748.57808,3748.57808,3715.431456,363,369,366,3747.28,3747.83,3738.21,3747.83,9.62,6,6.234,1.54315,8,止损,-1.0,-35.686571,-0.356866,4.006336,false,false
baseline,short,双顶熊旗,常规/略低双顶,385,400,2022-01-02T08:05:00,2022-01-02T08:05:00,2022-01-02T09:20:00,3733.88,3750.54504,3750.54504,3703.882928,379,384,383,3749.88,3747.0,3735.75,3749.88,14.13,5,5.542,2.549621,15,止损,-1.0,-48.640891,-0.486409,4.008926,false,true
baseline,short,双顶反转,常规/略低双顶,432,440,2022-01-02T12:00:00,2022-01-02T12:00:00,2022-01-02T12:40:00,3733.26,3755.49236,3755.49236,3693.241752,426,431,429,3754.97,3744.4,3739.93,3754.97,15.04,5,4.353,3.455088,8,止损,-1.0,-63.564044,-0.63564,4.01191,false,false
baseline,short,双顶熊旗,常规/略低双顶,446,469,2022-01-02T13:10:00,2022-01-02T13:10:00,2022-01-02T15:05:00,3744.3,3758.51972,3758.51972,3718.704504,440,445,444,3757.79,3755.94,3746.55,3757.79,11.24,5,6.081,1.84838,23,止损,-1.0,-41.984574,-0.419846,4.007595,false,true
