trade_no,conf_idx,exit_idx,entry_time,exit_time,side,family,gross_r,net_pnl,fees,cumulative_gross_r,cumulative_net_pnl,nav,peak_nav,drawdown,drawdown_pct
1,68,82,2018-01-10T22:00:00,2018-01-11T12:00:00,short,bear_flag,0.359402,474.504077,3.904318,0.359402,474.504077,1.0474504077,1.0474504077,0.0,0.0
2,167,177,2018-01-15T01:00:00,2018-01-15T11:00:00,short,bear_flag,-0.111512,-140.079628,4.02721,0.24789,334.424449,1.0334424449,1.0474504077,-0.014007962800000051,-0.013373389992523688
3,188,198,2018-01-15T22:00:00,2018-01-16T08:00:00,long,bull_flag,-1.522001,-1393.161671,3.722112,-1.274111,-1058.7372220000002,0.8941262778,1.0474504077,-0.1533241299,-0.14637841445560207
4,222,233,2018-01-17T08:00:00,2018-01-17T19:00:00,short,bear_pennant,0.036115,120.11604,3.975182,-1.237996,-938.6211820000002,0.9061378818,1.0474504077,-0.14131252589999999,-0.1349109464860443
5,238,248,2018-01-18T00:00:00,2018-01-18T10:00:00,short,bear_flag,-0.014344,-67.148071,4.012627,-1.25234,-1005.7692530000002,0.8994230746999999,1.0474504077,-0.14802733300000004,-0.14132156702773135
6,419,429,2018-01-25T13:00:00,2018-01-25T23:00:00,long,bull_flag,-0.068029,-72.601488,3.986277,-1.320369,-1078.3707410000002,0.8921629259,1.0474504077,-0.15528748179999996,-0.14825282481963176
7,480,490,2018-01-28T02:00:00,2018-01-28T12:00:00,long,bull_pennant,0.216716,218.532309,4.044515,-1.103653,-859.8384320000002,0.9140161567999999,1.0474504077,-0.13343425090000005,-0.1273895641446129
8,494,504,2018-01-28T16:00:00,2018-01-29T02:00:00,long,bull_flag,-0.161477,-247.130966,3.951364,-1.26513,-1106.9693980000002,0.8893030601999999,1.0474504077,-0.15814734750000004,-0.15098313613458914
9,538,549,2018-01-30T12:00:00,2018-01-30T23:00:00,short,bear_flag,0.660177,688.76023,3.861476,-0.6049530000000001,-418.2091680000002,0.9581790832,1.0474504077,-0.08927132449999997,-0.0852272564350065
10,561,572,2018-01-31T11:00:00,2018-01-31T22:00:00,short,bear_flag,0.052306,109.013574,3.977402,-0.5526470000000001,-309.1955940000002,0.9690804406,1.0474504077,-0.0783699671,-0.07481973993602753
11,619,629,2018-02-02T21:00:00,2018-02-03T07:00:00,short,bear_flag,-0.047889,-107.268372,4.02065,-0.6005360000000001,-416.4639660000002,0.9583536034,1.0474504077,-0.0890968043,-0.08506064215072429
12,711,721,2018-02-06T17:00:00,2018-02-07T03:00:00,short,bear_flag,-0.061596,-279.919066,4.055173,-0.662132,-696.3830320000002,0.9303616968,1.0474504077,-0.11708871089999995,-0.11178449121720646
13,746,757,2018-02-08T04:00:00,2018-02-08T15:00:00,long,bull_flag,0.007768,20.534972,4.004908,-0.6543640000000001,-675.8480600000001,0.932415194,1.0474504077,-0.11503521370000003,-0.10982401921308649
14,831,841,2018-02-11T17:00:00,2018-02-12T03:00:00,short,bear_flag,-0.236992,-342.604399,4.067707,-0.891356,-1018.4524590000001,0.8981547541,1.0474504077,-0.14929565359999997,-0.14253243160964968
15,873,884,2018-02-13T11:00:00,2018-02-13T22:00:00,long,bull_flag,0.056506,52.917296,4.011386,-0.8348500000000001,-965.5351630000001,0.9034464837,1.0474504077,-0.14400392399999995,-0.13748042192871446
16,945,955,2018-02-16T11:00:00,2018-02-16T21:00:00,long,bull_flag,0.1284,257.000592,4.052211,-0.7064500000000001,-708.5345710000001,0.9291465429,1.0474504077,-0.11830386479999999,-0.11294459759653208
17,993,1003,2018-02-18T11:00:00,2018-02-18T21:00:00,long,bull_flag,0.124212,176.465164,4.0361,-0.5822380000000001,-532.0694070000002,0.9467930593,1.0474504077,-0.10065734839999996,-0.09609748362313797
18,1060,1070,2018-02-21T06:00:00,2018-02-21T16:00:00,long,bull_flag,-0.494922,-587.111615,3.883354,-1.0771600000000001,-1119.1810220000002,0.8880818978,1.0474504077,-0.15936850989999995,-0.15214897882367773
19,1085,1095,2018-02-22T07:00:00,2018-02-22T17:00:00,short,bear_flag,0.556989,713.350433,3.856559,-0.5201710000000002,-405.83058900000026,0.9594169411,1.0474504077,-0.0880334666,-0.08404547456648048
20,1237,1247,2018-02-28T15:00:00,2018-03-01T01:00:00,long,bull_flag,-0.113058,-89.164426,3.982964,-0.6332290000000002,-494.99501500000025,0.9505004985,1.0474504077,-0.09694990920000002,-0.09255799461941439
21,1371,1381,2018-03-06T05:00:00,2018-03-06T15:00:00,long,bull_flag,-0.680658,-323.443496,3.936099,-1.3138870000000002,-818.4385110000003,0.9181561489,1.0474504077,-0.1292942588,-0.12343711726066853
22,1453,1463,2018-03-09T15:00:00,2018-03-10T01:00:00,short,bear_flag,-0.230719,-407.727261,4.080729,-1.5446060000000004,-1226.1657720000003,0.8773834227999999,1.0474504077,-0.17006698490000005,-0.16236280367051892
23,1597,1607,2018-03-15T15:00:00,2018-03-16T01:00:00,short,bear_flag,0.064795,111.166315,3.976971,-1.4798110000000004,-1114.9994570000003,0.8885000543,1.0474504077,-0.15895035339999997,-0.1517497651741092
