family,direction,pattern_kind,base_idx,tip_idx,conf_idx,flag_end_idx,exit_idx,support_pivot_idx,resist_pivot_idx,flag_extreme_idx,base_time,tip_time,conf_time,exit_time,base_price,tip_price,conf_price,exit_price,support_tip_price,support_conf_price,resist_tip_price,resist_conf_price,flag_extreme_price,structure_stop_price,flag_width,flag_height_log,flag_height_ratio,pole_width,pole_height_log,support_intercept_log,support_slope,resist_intercept_log,resist_slope,hold_bars,forward_log_return,flag_quality_score,target_price,target_hit,max_favorable_log_return,future_return_r
bear_flag,short,flag,26,54,68,67,82,60,63,63,2018-01-09T04:00:00,2018-01-10T08:00:00,2018-01-10T22:00:00,2018-01-11T12:00:00,15347.763018926242,13390.80239091046,14498.34191980734,13804.729070552,13064.723956568258,14418.57289134078,13764.596148330138,15030.578516059011,14565.603184468711,15030.578516059011,14,0.08409472029077492,0.6165227530851575,28,0.13640164920103004,9.477671049263709,0.007042956383160358,9.529855078121983,0.006284778188574514,14,0.049023072798400236,1.773200091963394,12649.689169984082,true,0.11957531829500212,0.3594023465665695
bear_flag,short,flag,131,157,167,166,177,161,159,166,2018-01-13T13:00:00,2018-01-14T15:00:00,2018-01-15T01:00:00,2018-01-15T11:00:00,14528.280124709621,12870.174817982643,13461.247693123452,13644.39122185144,12819.038497490104,13561.254464156085,13158.070259643295,13741.014151628771,13681.70651567346,13741.014151628771,10,0.061147044825506924,0.5045781067978681,26,0.12118449849827151,9.458686727466226,0.005628534185508599,9.48479055732186,0.004334981589285413,10,-0.013513521401280926,2.2291122343925984,11924.92226137656,false,0.011145090165811666,-0.11151196373085352
bull_flag,long,flag,157,178,188,187,198,186,182,186,2018-01-14T15:00:00,2018-01-15T12:00:00,2018-01-15T22:00:00,2018-01-16T08:00:00,12870.174817982643,14199.42452862573,13738.632080691666,11829.732190471006,14141.840717359935,13514.531006762718,14290.03152404973,13747.215396367168,13637.726340756946,13514.531006762718,10,0.040361489672331885,0.4106416623801242,21,0.09828883274627387,9.556893109009252,-0.0045372352583194385,9.567317476943154,-0.00387259109855411,10,-0.1495956848260942,2.3011279248246126,15157.577275777505,false,0.0,-1.5220008280316604
bear_pennant,short,pennant,178,211,222,221,233,211,213,213,2018-01-15T12:00:00,2018-01-16T21:00:00,2018-01-17T08:00:00,2018-01-17T19:00:00,14199.42452862573,10048.811790777967,10522.233436733337,10391.66175668352,10048.811790777967,10728.334043167826,10934.262254599449,10749.279205639321,10900.393785074377,10749.279205639321,11,0.08134451791151776,0.2352717696070562,33,0.3457470398908331,9.215209676724195,0.005948535023534546,9.299656464405958,-0.0015511348851223413,11,0.012486758242761908,3.7502422198893726,7446.494976694497,false,0.13905134843975375,0.03611530050034414
bear_flag,short,flag,178,228,238,237,248,232,230,235,2018-01-15T12:00:00,2018-01-17T14:00:00,2018-01-18T00:00:00,2018-01-18T10:00:00,14199.42452862573,9156.27228625888,11148.558285114053,11218.945202391422,8754.78171666187,11168.549549561392,9854.66241664008,12168.946507010332,11422.70691597656,12168.946507010332,10,0.22116406885411877,0.5040635217574544,50,0.43876229742436834,9.077355311989017,0.024350171932052023,9.195699963966119,0.021094265351997495,10,-0.006293697430800549,3.1903261674402783,7188.969880571012,false,0.06264532174393622,-0.014344207484886335
bull_flag,long,flag,383,409,419,418,429,414,416,418,2018-01-24T01:00:00,2018-01-25T03:00:00,2018-01-25T13:00:00,2018-01-25T23:00:00,10564.3326228342,11689.516335043683,11251.855198025187,11174.650356651966,11603.668047955123,10957.31137535638,11729.52330154032,11217.63927290134,11065.709095569404,10957.31137535638,10,0.054841344378456114,0.5418627565838904,26,0.10120891999331505,9.359076538140899,-0.0057314320200401855,9.36986430156685,-0.004462154811280996,10,-0.006885169531173574,2.147291454726708,12450.265419754936,false,0.0,-0.06802927579533846
bull_pennant,long,pennant,439,470,480,479,490,471,470,471,2018-01-26T09:00:00,2018-01-27T16:00:00,2018-01-28T02:00:00,2018-01-28T12:00:00,10488.267855156846,11609.634667184075,11526.644843753606,11783.201244283971,11439.129148251655,11513.992961809454,11609.634667184075,11529.485451088653,11446.593572853268,11513.992961809454,10,0.014143146950535979,0.1392342927794972,31,0.10157804279534943,9.34479513863168,0.0006523215331477286,9.359590607115363,-0.0006927621813496568,10,0.022013595460544266,5.549283209059776,12759.03108334176,false,0.058054604277030464,0.21671608208572532
bull_flag,long,flag,439,484,494,493,504,490,484,492,2018-01-26T09:00:00,2018-01-28T06:00:00,2018-01-28T16:00:00,2018-01-29T02:00:00,10488.267855156846,12215.625398334823,11879.185187765199,11590.307634954625,12005.983674396115,11636.981021990763,12215.625398334823,11811.967986809845,11778.27173766768,11636.981021990763,10,0.03645944672077128,0.23914323357805045,45,0.1524586172699376,9.393160444023767,-0.0031217118750501757,9.410471181589951,-0.003360264895586472,10,-0.024618524557737942,4.308956624123654,13835.618835748863,false,0.0069560564419628435,-0.16147676660447008
bear_flag,short,flag,484,527,538,537,549,535,534,534,2018-01-28T06:00:00,2018-01-30T01:00:00,2018-01-30T12:00:00,2018-01-30T23:00:00,12215.625398334823,10957.137549916872,11000.662611493819,10238.73284182342,10957.240081059981,11000.175845723474,11001.452047096434,11285.948012526515,11181.653563625156,11285.948012526515,11,0.020283285557891162,0.18655615277465573,43,0.10872482765224945,9.301755711369141,0.0003555296598594331,9.305782547350203,0.0023210131636270297,11,0.07177764235417783,4.779826186787091,9867.343622930382,false,0.08811261881157151,0.6601771086154745
bear_flag,short,flag,484,550,561,560,572,550,552,557,2018-01-28T06:00:00,2018-01-31T00:00:00,2018-01-31T11:00:00,2018-01-31T22:00:00,12215.625398334823,9830.293820284249,10289.992352423715,10173.724724759057,9830.293820284249,10258.285901807423,10210.549226663408,10320.658412602408,10280.58333437273,10320.658412602408,11,0.044788179132355666,0.20616239994249994,66,0.2172470787342764,9.193224102855675,0.0038742668919407564,9.231176702724985,0.0009751030860211162,11,0.011363417343329019,5.310327005153917,8280.676996414102,false,0.027109311124140945,0.052306421837911427
