example_no,example_file,family,side,entry_time,exit_time,flag_width,pole_width,flag_quality_score,gross_r,net_pnl,target_hit,selection_score
1,flags-pennants-example-001.png,bear_pennant,short,2018-01-17 08:00,2018-01-17 19:00,11,33,3.750242,0.036115,120.11604,false,0.350015
2,flags-pennants-example-002.png,bear_flag,short,2018-01-31 11:00,2018-01-31 22:00,11,66,5.310327,0.052306,109.013574,false,0.46862
3,flags-pennants-example-003.png,bull_flag,long,2018-02-16 11:00,2018-02-16 21:00,10,64,4.514773,0.1284,257.000592,false,0.430886
4,flags-pennants-example-004.png,bull_flag,long,2018-04-04 05:00,2018-04-04 15:00,10,52,5.382683,-0.538933,-766.446524,false,0.452961
5,flags-pennants-example-005.png,bull_pennant,long,2018-04-21 19:00,2018-04-22 08:00,13,83,5.163557,0.133639,164.487517,false,0.519429
6,flags-pennants-example-006.png,bear_pennant,short,2018-05-13 02:00,2018-05-13 20:00,18,43,2.616224,-0.277481,-376.56527,false,0.266696
7,flags-pennants-example-007.png,bear_flag,short,2018-05-24 07:00,2018-05-24 20:00,13,70,4.70533,0.0035,0.723483,false,0.416935
8,flags-pennants-example-008.png,bull_pennant,long,2018-07-18 17:00,2018-07-19 04:00,11,53,7.927273,-0.156766,-257.134863,false,0.646091
9,flags-pennants-example-009.png,bull_flag,long,2018-07-19 03:00,2018-07-19 13:00,10,64,6.10481,0.139396,233.66402,false,0.526289
10,flags-pennants-example-010.png,bear_pennant,short,2018-08-01 16:00,2018-08-02 03:00,11,62,6.247959,-0.125149,-115.616809,false,0.565787
11,flags-pennants-example-011.png,bear_flag,short,2018-08-02 07:00,2018-08-02 17:00,10,78,5.313304,0.210425,195.746153,false,0.513798
12,flags-pennants-example-012.png,bear_flag,short,2018-08-25 01:00,2018-08-25 11:00,10,62,3.340962,0.082758,33.839317,false,0.355458
13,flags-pennants-example-013.png,bull_flag,long,2018-08-29 05:00,2018-08-29 15:00,10,62,7.284228,-0.159623,-120.122468,false,0.592054
14,flags-pennants-example-014.png,bull_pennant,long,2018-09-14 16:00,2018-09-15 02:00,10,43,3.068506,-0.02572,-16.502647,false,0.34161
15,flags-pennants-example-015.png,bull_flag,long,2018-09-19 14:00,2018-09-20 01:00,11,31,2.231039,0.547524,120.25231,true,0.304317
16,flags-pennants-example-016.png,bear_flag,short,2018-11-16 00:00,2018-11-16 10:00,10,46,3.593382,0.03388,57.872572,false,0.330603
17,flags-pennants-example-017.png,bear_pennant,short,2018-12-08 04:00,2018-12-08 14:00,10,37,2.952644,0.179902,302.443925,false,0.319659
18,flags-pennants-example-018.png,bear_flag,short,2018-12-12 01:00,2018-12-12 11:00,10,43,4.333789,-0.289422,-207.696559,false,0.367527
19,flags-pennants-example-019.png,bull_flag,long,2019-01-15 07:00,2019-01-15 19:00,12,27,5.966352,-0.139258,-72.730399,false,0.414231
20,flags-pennants-example-020.png,bear_pennant,short,2019-02-10 05:00,2019-02-10 16:00,11,26,2.043709,0.169,17.495723,false,0.231713
21,flags-pennants-example-021.png,bull_pennant,long,2019-02-19 11:00,2019-02-19 22:00,11,36,4.113598,0.106602,90.700158,false,0.378634
22,flags-pennants-example-022.png,bull_pennant,long,2019-02-23 12:00,2019-02-23 23:00,11,27,2.190712,2.894604,394.747773,true,0.342806
23,flags-pennants-example-023.png,bull_pennant,long,2019-04-03 12:00,2019-04-03 22:00,10,67,5.975596,0.078976,160.656827,false,0.576036
24,flags-pennants-example-024.png,bull_flag,long,2019-04-04 06:00,2019-04-04 16:00,10,85,5.891169,-0.088426,-221.122461,false,0.56597
