preset,family,pattern_kind,side,base_idx,tip_idx,conf_idx,flag_end_idx,exit_idx,support_pivot_idx,resist_pivot_idx,flag_extreme_idx,base_time,tip_time,entry_time,exit_time,base_price,tip_price,entry_price,exit_price,support_tip_price,support_conf_price,resist_tip_price,resist_conf_price,flag_extreme_price,structure_stop_price,target_price,target_hit,flag_width,pole_width,hold_bars,holding_bars,flag_height_log,flag_height_ratio,pole_height_log,support_intercept_log,support_slope,resist_intercept_log,resist_slope,flag_quality_score,gross_log_return,gross_return_pct,gross_r,structure_r,net_pnl,net_return_pct,fees,exit_reason
baseline,bear_flag,flag,short,26,54,68,67,82,60,63,63,2018-01-09T04:00:00,2018-01-10T08:00:00,2018-01-10T22:00:00,2018-01-11T12:00:00,15347.763019,13390.802391,14498.34192,13804.729071,13064.723957,14418.572891,13764.596148,15030.578516,14565.603184,15030.578516,12649.68917,true,14,28,14,14,0.084095,0.616523,0.136402,9.477671,0.007043,9.529855,0.006285,1.7732,0.049023,4.784084,0.359402,1.303204,474.504077,4.745041,3.904318,固定持有期
baseline,bear_flag,flag,short,131,157,167,166,177,161,159,166,2018-01-13T13:00:00,2018-01-14T15:00:00,2018-01-15T01:00:00,2018-01-15T11:00:00,14528.280125,12870.174818,13461.247693,13644.391222,12819.038497,13561.254464,13158.07026,13741.014152,13681.706516,13741.014152,11924.922261,false,10,26,10,10,0.061147,0.504578,0.121184,9.458687,0.005629,9.484791,0.004335,2.229112,-0.013514,-1.360524,-0.111512,-0.65463,-140.079628,-1.400796,4.02721,固定持有期
baseline,bull_flag,flag,long,157,178,188,187,198,186,182,186,2018-01-14T15:00:00,2018-01-15T12:00:00,2018-01-15T22:00:00,2018-01-16T08:00:00,12870.174818,14199.424529,13738.632081,11829.73219,14141.840717,13514.531007,14290.031524,13747.215396,13637.726341,13514.531007,15157.577276,false,10,21,10,10,0.040361,0.410642,0.098289,9.556893,-0.004537,9.567317,-0.003873,2.301128,-0.149596,-13.894396,-1.522001,-8.518031,-1393.161671,-13.931617,3.722112,固定持有期
baseline,bear_pennant,pennant,short,178,211,222,221,233,211,213,213,2018-01-15T12:00:00,2018-01-16T21:00:00,2018-01-17T08:00:00,2018-01-17T19:00:00,14199.424529,10048.811791,10522.233437,10391.661757,10048.811791,10728.334043,10934.262255,10749.279206,10900.393785,10749.279206,7446.494977,false,11,33,11,11,0.081345,0.235272,0.345747,9.21521,0.005949,9.299656,-0.001551,3.750242,0.012487,1.240912,0.036115,0.57509,120.11604,1.20116,3.975182,固定持有期
baseline,bear_flag,flag,short,178,228,238,237,248,232,230,235,2018-01-15T12:00:00,2018-01-17T14:00:00,2018-01-18T00:00:00,2018-01-18T10:00:00,14199.424529,9156.272286,11148.558285,11218.945202,8754.781717,11168.54955,9854.662417,12168.946507,11422.706916,12168.946507,7188.969881,false,10,50,10,10,0.221164,0.504064,0.438762,9.077355,0.02435,9.1957,0.021094,3.190326,-0.006294,-0.631354,-0.014344,-0.068981,-67.148071,-0.671481,4.012627,固定持有期
baseline,bull_flag,flag,long,383,409,419,418,429,414,416,418,2018-01-24T01:00:00,2018-01-25T03:00:00,2018-01-25T13:00:00,2018-01-25T23:00:00,10564.332623,11689.516335,11251.855198,11174.650357,11603.668048,10957.311375,11729.523302,11217.639273,11065.709096,10957.311375,12450.26542,false,10,26,10,10,0.054841,0.541863,0.101209,9.359077,-0.005731,9.369864,-0.004462,2.147291,-0.006885,-0.686152,-0.068029,-0.262117,-72.601488,-0.726015,3.986277,固定持有期
baseline,bull_pennant,pennant,long,439,470,480,479,490,471,470,471,2018-01-26T09:00:00,2018-01-27T16:00:00,2018-01-28T02:00:00,2018-01-28T12:00:00,10488.267855,11609.634667,11526.644844,11783.201244,11439.129148,11513.992962,11609.634667,11529.485451,11446.593573,11513.992962,12759.031083,false,10,31,10,10,0.014143,0.139234,0.101578,9.344795,0.000652,9.359591,-0.000693,5.549283,0.022014,2.225768,0.216716,20.278122,218.532309,2.185323,4.044515,固定持有期
baseline,bull_flag,flag,long,439,484,494,493,504,490,484,492,2018-01-26T09:00:00,2018-01-28T06:00:00,2018-01-28T16:00:00,2018-01-29T02:00:00,10488.267855,12215.625398,11879.185188,11590.307635,12005.983674,11636.981022,12215.625398,11811.967987,11778.271738,11636.981022,13835.618836,false,10,45,10,10,0.036459,0.239143,0.152459,9.39316,-0.003122,9.410471,-0.00336,4.308957,-0.024619,-2.431796,-0.161477,-1.192703,-247.130966,-2.47131,3.951364,固定持有期
baseline,bear_flag,flag,short,484,527,538,537,549,535,534,534,2018-01-28T06:00:00,2018-01-30T01:00:00,2018-01-30T12:00:00,2018-01-30T23:00:00,12215.625398,10957.13755,11000.662611,10238.732842,10957.240081,11000.175846,11001.452047,11285.948013,11181.653564,11285.948013,9867.343623,false,11,43,11,11,0.020283,0.186556,0.108725,9.301756,0.000356,9.305783,0.002321,4.779826,0.071778,6.926217,0.660177,2.670763,688.76023,6.887602,3.861476,固定持有期
baseline,bear_flag,flag,short,484,550,561,560,572,550,552,557,2018-01-28T06:00:00,2018-01-31T00:00:00,2018-01-31T11:00:00,2018-01-31T22:00:00,12215.625398,9830.29382,10289.992352,10173.724725,9830.29382,10258.285902,10210.549227,10320.658413,10280.583334,10320.658413,8280.676996,false,11,66,11,11,0.044788,0.206162,0.217247,9.193224,0.003874,9.231177,0.000975,5.310327,0.011363,1.12991,0.052306,3.791411,109.013574,1.090136,3.977402,固定持有期
