trade_no,conf_idx,exit_idx,entry_time,exit_time,side,family,gross_r,net_pnl,fees,cumulative_gross_r,cumulative_net_pnl,nav,peak_nav,drawdown,drawdown_pct
1,207,217,2022-01-01T17:15:00,2022-01-01T18:05:00,long,bull_flag,0.553953,67.769706,4.014357,0.553953,67.769706,1.0067769706,1.0067769706,0.0,0.0
2,327,337,2022-01-02T03:15:00,2022-01-02T04:05:00,short,bear_flag,-0.515085,-38.322578,4.006863,0.038868000000000014,29.447128,1.0029447128,1.0067769706,-0.0038322578000000718,-0.0038064615221742315
3,384,394,2022-01-02T08:00:00,2022-01-02T08:50:00,short,bear_flag,-0.238317,-18.904037,4.00298,-0.199449,10.543091,1.0010543091,1.0067769706,-0.005722661500000115,-0.005684140248648717
4,500,510,2022-01-02T17:40:00,2022-01-02T18:30:00,long,bull_flag,-0.446059,-138.554573,3.973084,-0.645508,-128.011482,0.9871988518,1.0067769706,-0.019578118800000044,-0.019446331582587018
5,520,530,2022-01-02T19:20:00,2022-01-02T20:10:00,short,bear_flag,-0.209659,-42.697351,4.007738,-0.855167,-170.708833,0.9829291167,1.0067769706,-0.023847853899999993,-0.02368732559087794
6,614,626,2022-01-03T03:10:00,2022-01-03T04:10:00,short,bear_flag,0.093201,7.175242,3.997765,-0.761966,-163.533591,0.9836466409,1.0067769706,-0.023130329700000063,-0.022974631299139903
7,633,645,2022-01-03T04:45:00,2022-01-03T05:45:00,short,bear_flag,-0.286167,-45.156913,4.00823,-1.048133,-208.690504,0.9791309496,1.0067769706,-0.02764602100000002,-0.02745992588956825
8,722,732,2022-01-03T12:10:00,2022-01-03T13:00:00,long,bull_flag,-0.263726,-35.739517,3.993651,-1.311859,-244.430021,0.9755569979,1.0067769706,-0.031219972700000098,-0.031009820061134508
9,788,798,2022-01-03T17:40:00,2022-01-03T18:30:00,short,bear_flag,0.049334,8.408243,3.997519,-1.2625250000000001,-236.021778,0.9763978222,1.0067769706,-0.0303791484,-0.030174655645823112
10,857,867,2022-01-03T23:25:00,2022-01-04T00:15:00,long,bull_flag,-0.124002,-32.238285,3.994351,-1.386527,-268.260063,0.9731739937,1.0067769706,-0.033602976900000026,-0.0333767834200398
11,869,879,2022-01-04T00:25:00,2022-01-04T01:15:00,long,bull_flag,-0.127626,-34.1995,3.993959,-1.514153,-302.459563,0.9697540437,1.0067769706,-0.037022926900000086,-0.036773712531322444
12,900,910,2022-01-04T03:00:00,2022-01-04T03:50:00,short,bear_flag,-0.452152,-72.749103,4.013747,-1.9663050000000002,-375.208666,0.9624791334,1.0067769706,-0.04429783720000002,-0.043999652846250736
13,928,938,2022-01-04T05:20:00,2022-01-04T06:10:00,long,bull_flag,0.113155,6.152044,4.002031,-1.8531500000000003,-369.056622,0.9630943378,1.0067769706,-0.043682632800000065,-0.043388589603879146
14,973,984,2022-01-04T09:05:00,2022-01-04T10:00:00,long,bull_flag,-0.179334,-25.554833,3.995688,-2.032484,-394.611455,0.9605388545,1.0067769706,-0.04623811610000006,-0.0459268710451769
15,983,993,2022-01-04T09:55:00,2022-01-04T10:45:00,long,bull_flag,0.799048,93.847534,4.019573,-1.2334360000000002,-300.763921,0.9699236079,1.0067769706,-0.03685336270000006,-0.03660528972771093
16,1017,1027,2022-01-04T12:45:00,2022-01-04T13:35:00,long,bull_flag,0.315417,57.572934,4.012317,-0.9180190000000001,-243.19098699999998,0.9756809013,1.0067769706,-0.031096069300000084,-0.030886750698586263
17,1162,1172,2022-01-05T00:50:00,2022-01-05T01:40:00,short,bear_flag,-0.02195,-7.288755,4.000658,-0.9399690000000002,-250.479742,0.9749520258,1.0067769706,-0.03182494480000009,-0.031610719880723614
18,1315,1325,2022-01-05T13:35:00,2022-01-05T14:25:00,short,bear_flag,-0.080986,-18.98364,4.002996,-1.0209550000000003,-269.46338199999997,0.9730536618,1.0067769706,-0.033723308800000074,-0.03349630532361336
19,1338,1349,2022-01-05T15:30:00,2022-01-05T16:25:00,short,bear_flag,-0.113737,-18.451104,4.00289,-1.1346920000000003,-287.91448599999995,0.9712085514,1.0067769706,-0.03556841920000009,-0.03532899563525249
20,1381,1391,2022-01-05T19:05:00,2022-01-05T19:55:00,short,bear_flag,0.91488,211.727521,3.956863,-0.21981200000000023,-76.18696499999996,0.9923813035,1.0067769706,-0.014395667100000065,-0.014298764791392471
21,1432,1442,2022-01-05T23:20:00,2022-01-06T00:10:00,short,bear_flag,0.041996,42.079316,3.990786,-0.17781600000000022,-34.10764899999996,0.9965892351,1.0067769706,-0.010187735500000072,-0.010119158261961969
22,1505,1515,2022-01-06T05:25:00,2022-01-06T06:15:00,short,bear_flag,0.04006,12.002093,3.9968,-0.1377560000000002,-22.105555999999957,0.9977894444000001,1.0067769706,-0.008987526199999984,-0.00892702799374101
23,1572,1585,2022-01-06T11:00:00,2022-01-06T12:05:00,short,bear_flag,0.112431,47.0367,3.989795,-0.02532500000000021,24.931144000000046,1.0024931144,1.0067769706,-0.004283856200000047,-0.004255020054190428
24,1625,1635,2022-01-06T15:25:00,2022-01-06T16:15:00,long,bull_flag,0.274774,79.463171,4.016696,0.2494489999999998,104.39431500000005,1.0104394315,1.0104394315,0.0,0.0
25,1717,1727,2022-01-06T23:05:00,2022-01-06T23:55:00,short,bear_pennant,0.46472,42.319093,3.990738,0.7141689999999998,146.71340800000004,1.0146713408,1.0146713408,0.0,0.0
26,1753,1767,2022-01-07T02:05:00,2022-01-07T03:15:00,short,bear_flag,0.343546,63.75857,3.986451,1.057715,210.47197800000004,1.0210471978,1.0210471978,0.0,0.0
27,1792,1802,2022-01-07T05:20:00,2022-01-07T06:10:00,short,bear_flag,0.131464,87.807962,3.981642,1.189179,298.27994,1.029827994,1.029827994,0.0,0.0
28,1954,1964,2022-01-07T18:50:00,2022-01-07T19:40:00,long,bull_flag,0.125879,41.112773,4.009024,1.315058,339.392713,1.0339392713,1.0339392713,0.0,0.0
29,2063,2073,2022-01-08T03:55:00,2022-01-08T04:45:00,long,bull_pennant,0.495595,57.027179,4.012208,1.810653,396.419892,1.0396419892,1.0396419892,0.0,0.0
30,2258,2268,2022-01-08T20:10:00,2022-01-08T21:00:00,short,bear_flag,-0.21436,-127.408013,4.024677,1.5962930000000002,269.011879,1.0269011879,1.0396419892,-0.012740801299999882,-0.012254989152375328
31,2298,2308,2022-01-08T23:30:00,2022-01-09T00:20:00,long,bull_flag,-0.125623,-56.034513,3.989591,1.4706700000000001,212.97736600000002,1.0212977366,1.0396419892,-0.018344252599999944,-0.01764477848198087
32,2556,2566,2022-01-09T21:00:00,2022-01-09T21:50:00,long,bull_flag,-0.071786,-32.736894,3.994251,1.3988840000000002,180.240472,1.0180240472,1.0396419892,-0.021617942,-0.02079364071918155
33,2687,2697,2022-01-10T07:55:00,2022-01-10T08:45:00,long,bull_pennant,-0.702558,-52.887038,3.990221,0.6963260000000002,127.35343400000002,1.0127353434,1.0396419892,-0.026906645800000017,-0.02588068400421628
34,2781,2796,2022-01-10T15:45:00,2022-01-10T17:00:00,short,bear_flag,-0.298546,-229.833234,4.045158,0.39778000000000024,-102.47979999999998,0.98975202,1.0396419892,-0.049889969199999995,-0.047987643552556136
35,2868,2878,2022-01-10T23:00:00,2022-01-10T23:50:00,long,bull_flag,0.327859,60.024379,4.012807,0.7256390000000003,-42.45542099999998,0.9957544579000001,1.0396419892,-0.04388753129999989,-0.04221408115092695
36,2924,2935,2022-01-11T03:40:00,2022-01-11T04:35:00,long,bull_flag,-0.075981,-20.870418,3.996625,0.6496580000000003,-63.32583899999998,0.9936674161,1.0396419892,-0.04597457309999997,-0.04422154316350502
37,3301,3313,2022-01-12T11:05:00,2022-01-12T12:05:00,long,bull_flag,0.439015,74.650056,4.015733,1.0886730000000002,11.324217000000026,1.0011324217,1.0396419892,-0.03850956750000001,-0.03704118138748225
38,3346,3358,2022-01-12T14:50:00,2022-01-12T15:50:00,long,bull_pennant,-0.106041,-44.633241,3.991872,0.9826320000000002,-33.30902399999997,0.9966690976,1.0396419892,-0.04297289159999995,-0.041334317049917746
39,3360,3370,2022-01-12T16:00:00,2022-01-12T16:50:00,long,bull_flag,0.053703,17.678669,4.004337,1.0363350000000002,-15.630354999999973,0.9984369645,1.0396419892,-0.04120502469999998,-0.03963385966327415
40,3399,3409,2022-01-12T19:15:00,2022-01-12T20:05:00,long,bull_flag,0.224975,22.854224,4.005372,1.2613100000000002,7.223869000000025,1.0007223869,1.0396419892,-0.03891960230000002,-0.03743558138696235
41,3493,3505,2022-01-13T03:05:00,2022-01-13T04:05:00,short,bear_pennant,-0.412243,-62.984703,4.011795,0.8490670000000001,-55.760833999999974,0.9944239166,1.0396419892,-0.04521807259999999,-0.04349388834784862
42,3609,3619,2022-01-13T12:45:00,2022-01-13T13:35:00,short,bear_flag,-0.371167,-49.95346,4.009189,0.4779000000000001,-105.71429399999997,0.9894285706,1.0396419892,-0.05021341859999995,-0.04829875968999575
43,3741,3751,2022-01-13T23:45:00,2022-01-14T00:35:00,short,bear_flag,-0.310988,-31.149437,4.005429,0.16691200000000012,-136.86373099999997,0.9863136269,1.0396419892,-0.05332836229999993,-0.05129492926794532
44,3898,3908,2022-01-14T12:50:00,2022-01-14T13:40:00,short,bear_flag,0.003662,-3.161164,3.999832,0.17057400000000011,-140.024895,0.9859975105,1.0396419892,-0.0536444787,-0.051598992015779555
45,4051,4062,2022-01-15T01:35:00,2022-01-15T02:30:00,short,bear_flag,-0.596862,-50.672379,4.009333,-0.4262879999999999,-190.697274,0.9809302726,1.0396419892,-0.058711716599999964,-0.05647301398934301
46,4127,4140,2022-01-15T07:55:00,2022-01-15T09:00:00,long,bull_flag,0.101984,1.944222,4.001189,-0.32430399999999987,-188.753052,0.9811246948,1.0396419892,-0.058517294399999975,-0.056286005190141264
47,4195,4206,2022-01-15T13:35:00,2022-01-15T14:30:00,short,bear_flag,-0.107322,-24.423331,4.004084,-0.43162599999999984,-213.176383,0.9786823617,1.0396419892,-0.06095962749999995,-0.058635211095031003
48,4240,4258,2022-01-15T17:20:00,2022-01-15T18:50:00,long,bull_flag,-0.127197,-37.96333,3.993206,-0.5588229999999998,-251.13971299999997,0.9748860287,1.0396419892,-0.06475596049999999,-0.062286788310492724
49,4311,4321,2022-01-15T23:15:00,2022-01-16T00:05:00,short,bear_flag,0.496451,52.911407,3.98862,-0.06237199999999987,-198.22830599999998,0.9801771694,1.0396419892,-0.05946481979999996,-0.05719740104548676
50,4367,4377,2022-01-16T03:55:00,2022-01-16T04:45:00,short,bear_flag,-0.237789,-27.461791,4.004691,-0.3001609999999999,-225.69009699999998,0.9774309903,1.0396419892,-0.062210998899999925,-0.05983886717375764
51,4437,4447,2022-01-16T09:45:00,2022-01-16T10:35:00,short,bear_flag,-0.242047,-22.650779,4.003729,-0.5422079999999999,-248.34087599999998,0.9751659124000001,1.0396419892,-0.06447607679999989,-0.06201757669446761
52,4570,4580,2022-01-16T20:50:00,2022-01-16T21:40:00,short,bear_flag,0.065786,7.943582,3.997612,-0.4764219999999999,-240.397294,0.9759602706,1.0396419892,-0.06368171859999994,-0.06125350770894
53,4649,4659,2022-01-17T03:25:00,2022-01-17T04:15:00,short,bear_flag,0.93192,127.187824,3.973768,0.45549800000000007,-113.20946999999998,0.988679053,1.0396419892,-0.05096293619999992,-0.04901969786658544
54,4707,4717,2022-01-17T08:15:00,2022-01-17T09:05:00,long,bull_flag,0.189332,23.583474,4.005518,0.64483,-89.62599599999999,0.9910374004,1.0396419892,-0.04860458879999996,-0.04675127525139777
55,4799,4809,2022-01-17T15:55:00,2022-01-17T16:45:00,short,bear_flag,0.188864,27.996755,3.993602,0.833694,-61.629240999999986,0.9938370759,1.0396419892,-0.045804913299999916,-0.04405835256350754
56,4812,4822,2022-01-17T17:00:00,2022-01-17T17:50:00,short,bear_pennant,0.17513,30.568981,3.993088,1.0088240000000002,-31.060259999999985,0.996893974,1.0396419892,-0.042748015199999934,-0.04111801528225534
57,4839,4853,2022-01-17T19:15:00,2022-01-17T20:25:00,short,bear_flag,0.01819,1.099523,3.99898,1.027014,-29.960736999999984,0.9970039263,1.0396419892,-0.04263806289999994,-0.04101225551000465
58,4925,4940,2022-01-18T02:25:00,2022-01-18T03:40:00,long,bull_flag,-0.342626,-103.85452,3.980025,0.6843880000000001,-133.81525699999997,0.9866184743,1.0396419892,-0.0530235148999999,-0.05100170582837005
59,4967,4978,2022-01-18T05:55:00,2022-01-18T06:50:00,short,bear_pennant,-0.5326,-91.21712,4.01744,0.15178800000000015,-225.03237699999997,0.9774967623,1.0396419892,-0.062145226899999906,-0.05977560308796337
60,5017,5027,2022-01-18T10:05:00,2022-01-18T10:55:00,short,bear_flag,-0.091681,-24.240955,4.004047,0.060107000000000146,-249.27333199999998,0.9750726668,1.0396419892,-0.0645693223999999,-0.06210726680026235
61,5050,5060,2022-01-18T12:50:00,2022-01-18T13:40:00,long,bull_flag,-0.95426,-124.639994,3.975867,-0.8941529999999999,-373.913326,0.9626086674,1.0396419892,-0.0770333218,-0.07409600862627419
62,5082,5094,2022-01-18T15:30:00,2022-01-18T16:30:00,short,bear_flag,0.529978,109.353451,3.977334,-0.3641749999999999,-264.559875,0.9735440125,1.0396419892,-0.06609797669999995,-0.06357763286461915
