example_no,example_file,family,side,entry_time,exit_time,flag_width,pole_width,flag_quality_score,gross_r,net_pnl,target_hit,selection_score
1,flags-pennants-example-001.png,bear_pennant,short,2022-01-31 03:55,2022-01-31 04:50,11,45,7.636364,0.099078,40.621372,false,0.610455
2,flags-pennants-example-002.png,bull_flag,long,2022-01-31 19:05,2022-01-31 20:10,13,75,8.307692,-0.202548,-135.626175,false,0.642692
3,flags-pennants-example-003.png,bull_pennant,long,2022-02-15 12:35,2022-02-15 13:25,10,86,6.280341,0.025806,4.062487,false,0.64182
4,flags-pennants-example-004.png,bear_flag,short,2022-02-17 23:10,2022-02-18 00:00,10,67,6.114454,0.092142,35.50144,false,0.534367
5,flags-pennants-example-005.png,bull_pennant,long,2022-04-01 16:05,2022-04-01 16:55,10,35,7.4,-0.173223,-96.409672,false,0.5815
6,flags-pennants-example-006.png,bear_flag,short,2022-04-21 18:55,2022-04-21 19:50,11,54,7.963636,0.228451,82.740606,false,0.600545
7,flags-pennants-example-007.png,bull_flag,long,2022-04-27 04:05,2022-04-27 05:00,11,47,7.709091,0.027375,3.426078,false,0.569364
8,flags-pennants-example-008.png,bear_pennant,short,2022-05-10 22:45,2022-05-10 23:35,10,50,3.500257,-0.329425,-210.351094,false,0.385015
9,flags-pennants-example-009.png,bull_flag,long,2022-05-30 03:30,2022-05-30 04:20,10,31,7.24,-0.01168,-8.899649,false,0.5119
10,flags-pennants-example-010.png,bear_pennant,short,2022-06-13 09:45,2022-06-13 10:35,10,55,4.352619,-0.159575,-226.41872,false,0.448657
11,flags-pennants-example-011.png,bear_flag,short,2022-06-28 06:45,2022-06-28 07:35,10,93,4.751622,-0.393202,-93.497379,false,0.517597
12,flags-pennants-example-012.png,bull_pennant,long,2022-07-16 17:00,2022-07-16 17:50,10,49,5.009415,-0.033176,-52.70086,false,0.473065
13,flags-pennants-example-013.png,bear_flag,short,2022-07-26 02:25,2022-07-26 03:15,10,59,8.093589,-0.037682,-34.234556,false,0.633115
14,flags-pennants-example-014.png,bull_flag,long,2022-08-29 19:00,2022-08-29 20:05,13,80,7.677732,0.039049,22.044088,false,0.61451
15,flags-pennants-example-015.png,bear_pennant,short,2022-09-02 20:35,2022-09-02 21:30,11,61,7.546044,-0.21965,-132.131236,false,0.641399
16,flags-pennants-example-016.png,bull_pennant,long,2022-09-22 20:35,2022-09-22 21:25,10,43,6.346124,-0.191507,-120.327558,false,0.538267
17,flags-pennants-example-017.png,bear_flag,short,2022-09-23 12:30,2022-09-23 13:20,10,83,5.551223,-0.223989,-126.685751,false,0.540573
18,flags-pennants-example-018.png,bull_flag,long,2022-10-13 18:20,2022-10-13 19:10,10,51,8.04,0.164904,93.060349,false,0.6099
19,flags-pennants-example-019.png,bear_flag,short,2022-11-02 23:40,2022-11-03 00:30,10,53,7.011734,-0.056892,-42.877334,false,0.553204
20,flags-pennants-example-020.png,bull_pennant,long,2022-12-13 14:20,2022-12-13 15:10,10,75,7.796597,-0.053155,-40.484694,false,0.705296
21,flags-pennants-example-021.png,bear_pennant,short,2022-12-16 10:25,2022-12-16 11:15,10,21,6.84,-0.040485,-27.178839,false,0.5129
22,flags-pennants-example-022.png,bull_flag,long,2023-01-09 05:20,2023-01-09 06:10,10,69,8.76,-0.08203,-32.282131,false,0.6981
23,flags-pennants-example-023.png,bull_pennant,long,2023-01-21 02:25,2023-01-21 03:15,10,86,9.44,-0.139777,-65.50389,false,0.8314
24,flags-pennants-example-024.png,bear_flag,short,2023-01-25 02:15,2023-01-25 03:05,10,65,7.325336,-0.019263,-15.821083,false,0.60202
25,flags-pennants-example-025.png,bear_pennant,short,2023-01-25 06:05,2023-01-25 07:00,11,110,10.0,-0.110508,-59.035284,false,0.9
26,flags-pennants-example-026.png,bear_pennant,short,2023-02-05 21:05,2023-02-05 21:55,10,63,5.478452,-0.141434,-39.709714,false,0.536207
27,flags-pennants-example-027.png,bull_flag,long,2023-02-26 02:00,2023-02-26 02:50,10,47,7.141,0.350629,56.444285,false,0.54596
28,flags-pennants-example-028.png,bull_pennant,long,2023-04-04 10:50,2023-04-04 11:40,10,28,4.298515,1.046275,149.346236,true,0.477911
29,flags-pennants-example-029.png,bear_flag,short,2023-04-21 18:30,2023-04-21 19:25,11,49,4.602575,0.840248,173.345324,true,0.487518
30,flags-pennants-example-030.png,bull_pennant,long,2023-04-26 12:10,2023-04-26 13:20,14,39,7.114286,0.627032,188.203012,false,0.5465
31,flags-pennants-example-031.png,bull_flag,long,2023-05-05 19:20,2023-05-05 20:10,10,72,5.899989,0.08018,36.757246,false,0.533999
