preset,family,pattern_kind,side,base_idx,tip_idx,conf_idx,flag_end_idx,exit_idx,support_pivot_idx,resist_pivot_idx,flag_extreme_idx,base_time,tip_time,entry_time,exit_time,base_price,tip_price,entry_price,exit_price,support_tip_price,support_conf_price,resist_tip_price,resist_conf_price,flag_extreme_price,structure_stop_price,target_price,target_hit,flag_width,pole_width,hold_bars,holding_bars,flag_height_log,flag_height_ratio,pole_height_log,support_intercept_log,support_slope,resist_intercept_log,resist_slope,flag_quality_score,gross_log_return,gross_return_pct,gross_r,structure_r,net_pnl,net_return_pct,fees,exit_reason
baseline,bull_flag,flag,long,174,197,207,206,217,202,198,203,2022-01-01T14:30:00,2022-01-01T16:25:00,2022-01-01T17:15:00,2022-01-01T18:05:00,3695.0,3743.02,3729.24,3756.01,3738.233749,3717.794267,3744.205831,3726.286231,3726.46,3717.794267,3777.704981,false,10,23,10,10,0.004434,0.3434,0.012912,8.226369,-0.000548,8.227965,-0.00048,2.667235,0.007153,0.717841,0.553953,2.338863,67.769706,0.677697,4.014357,固定持有期
baseline,bear_flag,flag,short,288,317,327,326,337,326,319,325,2022-01-02T00:00:00,2022-01-02T02:25:00,2022-01-02T03:15:00,2022-01-02T04:05:00,3766.97,3742.0,3744.64,3757.49,3742.036899,3745.484948,3750.095713,3751.217284,3751.03,3751.217284,3719.818018,false,10,29,10,10,0.00241,0.362402,0.006651,8.227385,0.000092,8.229537,0.00003,2.81562,-0.003426,-0.343157,-0.515085,-1.953694,-38.322578,-0.383226,4.006863,固定持有期
baseline,bear_flag,flag,short,330,374,384,383,394,382,378,378,2022-01-02T03:30:00,2022-01-02T07:10:00,2022-01-02T08:00:00,2022-01-02T08:50:00,3758.53,3735.12,3737.99,3743.56,3735.156553,3740.086512,3744.915829,3747.376742,3745.9,3747.376742,3714.707933,false,10,44,10,10,0.002882,0.461263,0.006248,8.225545,0.000132,8.228154,0.000066,3.060776,-0.001489,-0.149011,-0.238317,-0.59339,-18.904037,-0.18904,4.00298,固定持有期
baseline,bull_flag,flag,long,435,490,500,499,510,495,499,495,2022-01-02T12:15:00,2022-01-02T16:50:00,2022-01-02T17:40:00,2022-01-02T18:30:00,3733.2,3848.34,3829.65,3778.11,3829.977891,3797.531122,3848.303434,3825.850627,3813.72,3797.531122,3947.764728,false,10,55,10,10,0.009037,0.297497,0.030376,8.250614,-0.000851,8.255388,-0.000585,4.216828,-0.01355,-1.345815,-0.446059,-1.604664,-138.554573,-1.385546,3.973084,固定持有期
baseline,bear_flag,flag,short,490,510,520,519,530,510,513,517,2022-01-02T16:50:00,2022-01-02T18:30:00,2022-01-02T19:20:00,2022-01-02T20:10:00,3848.34,3778.11,3794.3,3808.98,3778.11,3799.302226,3794.789923,3807.772362,3803.91,3807.772362,3725.056199,false,10,20,10,10,0.006806,0.369508,0.018418,8.236979,0.000559,8.241384,0.000342,2.42378,-0.003861,-0.386896,-0.209659,-1.089638,-42.697351,-0.426974,4.007738,固定持有期
baseline,bear_flag,flag,short,573,602,614,613,626,609,608,608,2022-01-02T23:45:00,2022-01-03T02:10:00,2022-01-03T03:10:00,2022-01-03T04:10:00,3833.71,3788.0,3794.86,3790.62,3788.037212,3795.570824,3795.091058,3807.899731,3801.49,3807.899731,3749.613215,false,12,29,12,12,0.003555,0.296371,0.011995,8.239603,0.000166,8.241464,0.000281,2.991156,0.001118,0.11173,0.093201,0.32516,7.175242,0.071752,3.997765,固定持有期
baseline,bear_flag,flag,short,573,621,633,632,645,621,625,632,2022-01-02T23:45:00,2022-01-03T03:45:00,2022-01-03T04:45:00,2022-01-03T05:45:00,3833.71,3779.09,3793.56,3809.17,3779.09,3792.909961,3791.970056,3796.531717,3795.27,3796.531717,3739.512029,false,12,48,12,12,0.004272,0.297727,0.01435,8.237239,0.000304,8.240641,0.0001,3.615268,-0.004106,-0.411487,-0.286167,-5.252856,-45.156913,-0.451569,4.00823,固定持有期
baseline,bull_flag,flag,long,687,712,722,721,732,715,721,720,2022-01-03T09:15:00,2022-01-03T11:20:00,2022-01-03T12:10:00,2022-01-03T13:00:00,3792.38,3838.38,3833.57,3821.4,3832.196994,3824.512413,3838.373504,3831.570214,3826.01,3824.512413,3880.069618,false,10,25,10,10,0.003228,0.26773,0.012057,8.251194,-0.000201,8.252804,-0.000177,3.241063,-0.00318,-0.317459,-0.263726,-1.343625,-35.739517,-0.357395,3.993651,固定持有期
baseline,bear_flag,flag,short,751,778,788,787,798,782,786,786,2022-01-03T14:35:00,2022-01-03T16:50:00,2022-01-03T17:40:00,2022-01-03T18:30:00,3838.55,3743.17,3764.38,3759.71,3735.50866,3763.775924,3749.598503,3775.39307,3770.22,3775.39307,3670.842971,false,10,27,10,10,0.007201,0.286168,0.025162,8.225639,0.000754,8.229404,0.000686,3.176672,0.001241,0.124058,0.049334,0.424042,8.408243,0.084082,3.997519,固定持有期
baseline,bull_flag,flag,long,821,847,857,856,867,852,847,852,2022-01-03T20:25:00,2022-01-03T22:35:00,2022-01-03T23:25:00,2022-01-04T00:15:00,3683.36,3768.34,3763.64,3753.01,3749.673502,3742.78966,3768.34,3759.296053,3746.23,3742.78966,3850.472166,false,10,26,10,10,0.005885,0.257992,0.022809,8.229424,-0.000184,8.23439,-0.00024,3.365657,-0.002828,-0.282439,-0.124002,-0.509824,-32.238285,-0.322383,3.994351,固定持有期
