trade_no,exit_idx,exit_time,side,gross_r,net_pnl,fees,cumulative_gross_r,cumulative_net_pnl,nav,peak_nav,drawdown,drawdown_pct
1,21733,2022-03-17T11:05:00,short,-1.0,-93.594292,4.017915,-1.0,-93.594292,0.9906405708,0.9906405708,0.0,0.0
2,38882,2022-05-16T00:10:00,long,0.072986,13.769876,4.003555,-0.927014,-79.824416,0.9920175583999999,0.9920175583999999,0.0,0.0
3,42936,2022-05-30T02:00:00,long,1.8,246.150475,4.05004,0.872986,166.326059,1.0166326059,1.0166326059,0.0,0.0
4,63177,2022-08-08T08:45:00,long,1.8,158.218225,4.03245,2.672986,324.54428399999995,1.0324544284,1.0324544284,0.0,0.0
5,63315,2022-08-08T20:15:00,short,-0.740876,-128.012853,4.024798,1.9321099999999998,196.53143099999994,1.0196531431,1.0324544284,-0.01280128529999991,-0.012398886525033515
6,89029,2022-11-06T03:05:00,short,0.568139,38.524986,3.991497,2.5002489999999997,235.05641699999995,1.0235056417,1.0324544284,-0.008948786699999989,-0.008667488320882044
7,99858,2022-12-13T17:30:00,long,-0.521432,-226.473253,3.955496,1.9788169999999998,8.583163999999954,1.0008583164,1.0324544284,-0.0315961119999999,-0.03060291198417786
8,107928,2023-01-10T18:00:00,long,0.136752,5.764405,4.001953,2.115569,14.347568999999954,1.0014347569,1.0324544284,-0.031019671499999957,-0.030044591457727865
9,115726,2023-02-06T19:50:00,long,0.662859,62.669644,4.013337,2.778428,77.01721299999996,1.0077017213,1.0324544284,-0.024752707099999993,-0.023974624369968
10,133464,2023-04-09T10:00:00,short,-0.260971,-42.52606,4.007704,2.517457,34.491152999999954,1.0034491153,1.0324544284,-0.029005313099999874,-0.028093552898939667
11,142341,2023-05-10T05:45:00,short,0.530163,28.836365,3.993434,3.0476199999999998,63.327517999999955,1.0063327518,1.0324544284,-0.026121676599999866,-0.02530056134340064
12,167480,2023-08-05T12:40:00,long,-1.0,-27.199229,3.995359,2.0476199999999998,36.12828899999995,1.0036128289,1.0324544284,-0.02884159949999998,-0.027934985512819144
