preset,side,pattern_role,channel_type,signal_idx,exit_idx,signal_time,entry_time,exit_time,entry_price,exit_price,stop_price,target_price,window_start_idx,window_end_idx,support_line_start,support_line_current,resistance_line_start,resistance_line_current,support_touch_count,resistance_touch_count,support_touch_1_idx,support_touch_2_idx,support_touch_3_idx,resistance_touch_1_idx,resistance_touch_2_idx,resistance_touch_3_idx,channel_height,channel_height_atr,trend_slope,trend_slope_atr,atr_at_entry,holding_bars,exit_reason,gross_r,net_pnl,net_return_pct,fees,measured_move_hit_label,failure_label
baseline,short,下破支撑趋势线,ascending,21721,21733,2022-03-17T10:05:00,2022-03-17T10:05:00,2022-03-17T11:05:00,2752.97,2777.630108,2777.630108,2708.581806,21673,21720,2743.043597,2755.237744,2764.753821,2776.947968,3,4,21682,21691,21720,21673,21676,21703,21.710224,3.819197,0.254045,0.044691,5.6845,12,止损,-1.0,-93.594292,-0.935943,4.017915,false,true
baseline,long,上破阻力趋势线,ascending,38834,38882,2022-05-15T20:10:00,2022-05-15T20:10:00,2022-05-16T00:10:00,2126.77,2130.55,2074.978975,2219.993845,38786,38833,2054.524094,2076.202435,2087.834923,2109.513264,3,3,38786,38806,38809,38792,38797,38831,33.310829,3.267209,0.451632,0.044297,10.1955,48,时间止盈/止损,0.072986,13.769876,0.137699,4.003555,true,false
baseline,long,上破阻力趋势线,ascending,42892,42936,2022-05-29T22:20:00,2022-05-29T22:20:00,2022-05-30T02:00:00,1814.21,1859.601628,1788.992429,1859.601628,42844,42891,1781.911987,1789.506689,1803.343554,1810.938257,3,3,42855,42860,42863,42844,42847,42891,21.431568,5.000949,0.158223,0.036921,4.2855,44,止盈,1.8,246.150475,2.461505,4.05004,false,true
baseline,long,上破阻力趋势线,ascending,63144,63177,2022-08-08T06:00:00,2022-08-08T06:00:00,2022-08-08T08:45:00,1727.55,1755.579615,1711.977991,1755.579615,63096,63143,1698.92,1712.387251,1713.36489,1726.832142,3,3,63096,63125,63128,63103,63108,63141,14.44489,4.235417,0.280568,0.082266,3.4105,33,止盈,1.8,158.218225,1.582182,4.03245,true,true
baseline,short,下破支撑趋势线,descending,63267,63315,2022-08-08T16:15:00,2022-08-08T16:15:00,2022-08-08T20:15:00,1761.46,1783.3,1790.938624,1708.398476,63219,63266,1792.833427,1763.023796,1819.915155,1790.105524,3,3,63219,63261,63265,63248,63252,63255,27.081728,3.900861,-0.621034,-0.089454,6.9425,48,时间止盈/止损,-0.740876,-128.012853,-1.280129,4.024798,false,true
baseline,short,下破支撑趋势线,flat,88981,89029,2022-11-05T23:05:00,2022-11-05T23:05:00,2022-11-06T03:05:00,1622.9,1616.0,1635.04492,1601.039143,88933,88980,1627.171188,1628.260801,1633.653087,1634.7427,3,5,88940,88952,88976,88944,88952,88971,6.481899,2.573714,0.0227,0.009013,2.5185,48,时间止盈/止损,0.568139,38.524986,0.38525,3.991497,false,true
baseline,long,上破阻力趋势线,ascending,99810,99858,2022-12-13T13:30:00,2022-12-13T13:30:00,2022-12-13T17:30:00,1345.96,1316.01,1288.521995,1449.34841,99762,99809,1264.270051,1289.389235,1285.927449,1311.046633,3,3,99764,99767,99804,99769,99796,99808,21.657398,2.996734,0.523316,0.072411,7.227,48,时间止盈/止损,-0.521432,-226.473253,-2.264733,3.955496,false,false
baseline,long,上破阻力趋势线,descending,107880,107928,2023-01-10T14:00:00,2023-01-10T14:00:00,2023-01-10T18:00:00,1331.1,1332.4,1321.593768,1348.211218,107832,107879,1328.641455,1321.836288,1336.180646,1329.375479,3,4,107834,107861,107875,107838,107843,107846,7.539191,3.730426,-0.141774,-0.070151,2.021,48,时间止盈/止损,0.136752,5.764405,0.057644,4.001953,true,true
baseline,long,上破阻力趋势线,descending,115678,115726,2023-02-06T15:50:00,2023-02-06T15:50:00,2023-02-06T19:50:00,1634.6,1645.5,1618.156078,1664.199059,115630,115677,1627.795997,1618.745818,1640.746726,1631.696548,3,3,115635,115659,115672,115646,115662,115668,12.950729,2.635208,-0.188545,-0.038365,4.9145,48,时间止盈/止损,0.662859,62.669644,0.626696,4.013337,true,false
baseline,short,下破支撑趋势线,descending,133416,133464,2023-04-09T06:00:00,2023-04-09T06:00:00,2023-04-09T10:00:00,1827.7,1834.74,1854.676225,1779.142796,133368,133415,1852.007427,1847.429242,1858.91841,1854.340225,3,4,133383,133392,133414,133368,133377,133408,6.910982,2.468208,-0.095379,-0.034064,2.8,48,时间止盈/止损,-0.260971,-42.52606,-0.425261,4.007704,false,false
